,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
42,2021-08-15,15:30,Liga 1,Torneo Clausura,Sun,Home,W,2,0,USMP,,,Luis Alberto Ramírez,5-3-2,4-3-3,David Huaman,Match Report,
43,2021-08-22,15:30,Liga 1,Torneo Clausura,Sun,Home,D,0,0,Universitario,,,Luis Alberto Ramírez,5-3-2,4-2-3-1,Michael Espinoza,Match Report,
44,2021-08-29,11:00,Liga 1,Torneo Clausura,Sun,Away,D,1,1,Sport Huancayo,,,Jesús Chávez,5-3-2,4-4-2,Roberto Pérez,Match Report,
45,2021-09-03,11:30,Liga 1,Torneo Clausura,Fri,Away,W,1,0,Dep Municipal,,,Luis Alberto Ramírez,3-4-3,4-4-2,Edwin Ordóñez,Match Report,
46,2021-09-13,13:15,Liga 1,Torneo Clausura,Mon,Home,D,2,2,U César Vallejo,,,Jesús Chávez,3-4-3,3-4-3,Jesús Cartagena,Match Report,
47,2021-09-18,15:30,Liga 1,Torneo Clausura,Sat,Away,W,2,1,Binacional,,,Jesús Chávez,5-3-2,3-4-3,Edwin Ordóñez,Match Report,
48,2021-09-22,11:00,Liga 1,Torneo Clausura,Wed,Home,W,3,2,Cusco,,,Luis Alberto Ramírez,5-3-2,4-3-3,Hibert Villegas,Match Report,
49,2021-09-26,13:15,Liga 1,Torneo Clausura,Sun,Away,L,0,1,Melgar,,,Jesús Chávez,3-4-3,4-3-3,David Huaman,Match Report,
50,2021-10-01,13:00,Liga 1,Torneo Clausura,Fri,Home,W,3,1,Alianza Atlético,,,Jesús Chávez,3-4-3,4-2-3-1,Luis Seminario,Match Report,
51,2021-10-16,13:15,Liga 1,Torneo Clausura,Sat,Away,D,1,1,UTC,,,Luis Alberto Ramírez,3-4-3,4-2-3-1,Gean Pierre Barbagelatta,Match Report,
52,2021-10-22,15:30,Liga 1,Torneo Clausura,Fri,Home,D,3,3,Mannucci,,,Luis Alberto Ramírez,3-4-1-2,4-2-3-1,Fernando Legario,Match Report,
53,2021-10-30,15:00,Liga 1,Torneo Clausura,Sat,Away,D,1,1,Sporting Cristal,,,Luis Alberto Ramírez,5-3-2,4-3-3,Luis Seminario,Match Report,
54,2022-02-04,15:30,Liga 1,Torneo Apertura,Fri,Away,L,1,2,UTC,,,Jesús Chávez,3-5-2,4-2-3-1,Kevin Ortega,Match Report,
55,2022-02-13,15:30,Liga 1,Torneo Apertura,Sun,Home,D,0,0,Alianza Lima,,,Jesús Chávez,5-3-2,3-4-1-2,Roberto Pérez,Match Report,
56,2022-02-21,15:00,Liga 1,Torneo Apertura,Mon,Away,L,0,2,USMP,,,Jesús Chávez,3-5-2,4-3-3,Michael Espinoza,Match Report,
