,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
109,2023-03-05,15:30,Liga 1,Torneo Apertura,Sun,Away,W,1,0,UTC,,,Josepmir Ballón,4-1-4-1,4-2-3-1,Kevin Ortega,Match Report,
110,2023-03-11,20:00,Liga 1,Torneo Apertura,Sat,Home,W,2,0,Cusco,,,Josepmir Ballón,4-3-3,4-1-3-2,Kevin Ortega,Match Report,
111,2023-03-19,18:00,Liga 1,Torneo Apertura,Sun,Away,L,1,2,Sport Huancayo,,,Josepmir Ballón,4-4-2,4-2-3-1,Diego Haro,Match Report,
112,2023-03-26,13:00,Liga 1,Torneo Apertura,Sun,Away,W,2,1,Atlético Grau,,,Josepmir Ballón,4-2-3-1,4-2-3-1,Edwin Ordóñez,Match Report,
113,2023-04-01,19:00,Liga 1,Torneo Apertura,Sat,Home,W,2,0,Cienciano,,,Hernán Barcos,4-3-3,4-2-3-1,Joel Alarcón,Match Report,
114,2023-04-04,17:00,Libertadores,Group stage,Tue,Home,D,0,0,br Ath Paranaense,60,,Josepmir Ballón,4-2-3-1,4-2-3-1,Carlos Ortega,Match Report,
115,2023-04-09,13:00,Liga 1,Torneo Apertura,Sun,Away,W,1,0,Alianza Atlético,,,Josepmir Ballón,4-2-3-1,3-4-3,Augusto Menéndez,Match Report,
116,2023-04-15,19:00,Liga 1,Torneo Apertura,Sat,Home,W,3,0,Cantolao,,,Josepmir Ballón,4-2-3-1,4-4-2,Kevin Ortega,Match Report,
117,2023-04-20,22:00,Libertadores,Group stage,Thu,Away,W,2,1,py Libertad,36,"2,909",Josepmir Ballón,4-4-1-1,4-4-2,Facundo Tello,Match Report,
118,2023-04-23,13:00,Liga 1,Torneo Apertura,Sun,Away,W,3,1,Unión Comercio,,,Josepmir Ballón,4-2-3-1,4-2-3-1,Diego Haro,Match Report,
119,2023-05-03,21:30,Libertadores,Group stage,Wed,Away,L,0,2,br Atlético Mineiro,35,"17,563",Josepmir Ballón,4-4-1-1,4-2-2-2,Andrés Matonte,Match Report,
120,2023-05-07,20:00,Liga 1,Torneo Apertura,Sun,Home,W,3,0,Mannucci,,,Josepmir Ballón,4-2-3-1,4-4-2,Jordy Espinoza,Match Report,
121,2023-05-11,20:00,Liga 1,Torneo Apertura,Thu,Home,W,2,0,U César Vallejo,,,Josepmir Ballón,4-1-4-1,4-2-3-1,Diego Haro,Match Report,
