year,url
2019,https://fbref.com/en/squads/0c2512a2/2019/Sport-Boys-Stats
2020,https://fbref.com/en/squads/8917b8a9/2020/Sporting-Cristal-Stats
2020,https://fbref.com/en/squads/e4108102/2020/Universitario-Stats
2020,https://fbref.com/en/squads/d1f6a4fe/2020/Universidad-Cesar-Vallejo-Stats
2020,https://fbref.com/en/squads/e6b8138d/2020/Ayacucho-Stats
2020,https://fbref.com/en/squads/0beae1a9/2020/Carlos-A-Mannucci-Stats
2020,https://fbref.com/en/squads/d7ba2e36/2020/Sport-Huancayo-Stats
2020,https://fbref.com/en/squads/afccbca8/2020/Universidad-Tecnica-de-Cajamarca-Stats
2020,https://fbref.com/en/squads/87ffd947/2020/Melgar-Stats
2020,https://fbref.com/en/squads/adf57493/2020/Cienciano-Stats
2020,https://fbref.com/en/squads/b9ca1839/2020/Alianza-Universidad-Stats
2020,https://fbref.com/en/squads/6df8a6d5/2020/Universidad-San-Martin-Stats
2020,https://fbref.com/en/squads/d4f8af71/2020/Cusco-Stats
2020,https://fbref.com/en/squads/e5c4db74/2020/Binacional-Stats
2020,https://fbref.com/en/squads/0c2512a2/2020/Sport-Boys-Stats
2020,https://fbref.com/en/squads/646f985b/2020/Deportivo-Municipal-Stats
2020,https://fbref.com/en/squads/6be8cbbb/2020/Cantolao-Stats
2020,https://fbref.com/en/squads/fb5a807f/2020/Carlos-Stein-Stats
2020,https://fbref.com/en/squads/cdbccdc1/2020/Alianza-Lima-Stats
2020,https://fbref.com/en/squads/d1077778/2020/Atletico-Grau-Stats
2020,https://fbref.com/en/squads/4e29993c/Llacuabamba-Stats
2021,https://fbref.com/en/squads/8917b8a9/2021/Sporting-Cristal-Stats
2021,https://fbref.com/en/squads/cdbccdc1/2021/Alianza-Lima-Stats
2021,https://fbref.com/en/squads/e4108102/2021/Universitario-Stats
2021,https://fbref.com/en/squads/d1f6a4fe/2021/Universidad-Cesar-Vallejo-Stats
2021,https://fbref.com/en/squads/87ffd947/2021/Melgar-Stats
2021,https://fbref.com/en/squads/adf57493/2021/Cienciano-Stats
2021,https://fbref.com/en/squads/0c2512a2/2021/Sport-Boys-Stats
2021,https://fbref.com/en/squads/e6b8138d/2021/Ayacucho-Stats
2021,https://fbref.com/en/squads/0beae1a9/2021/Carlos-A-Mannucci-Stats
2021,https://fbref.com/en/squads/afccbca8/2021/Universidad-Tecnica-de-Cajamarca-Stats
2021,https://fbref.com/en/squads/646f985b/2021/Deportivo-Municipal-Stats
2021,https://fbref.com/en/squads/d7ba2e36/2021/Sport-Huancayo-Stats
