,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
121,2023-09-09,19:00,Liga 1,Torneo Clausura,Sat,Home,L,0,1,Melgar,,,Carlos Javier Beltrán,3-4-3,3-4-3,Diego Haro,Match Report,
122,2023-09-15,19:00,Liga 1,Torneo Clausura,Fri,Away,D,2,2,Binacional,,,Alberto Quintero,4-2-3-1,4-3-3,Jesús Cartagena,Match Report,
123,2023-09-20,18:30,Liga 1,Torneo Clausura,Wed,Home,D,2,2,ADT Tarma,,,Carlos Javier Beltrán,4-2-3-1,4-2-3-1,Michael Espinoza,Match Report,
124,2023-09-24,19:30,Liga 1,Torneo Clausura,Sun,Away,W,3,0,Deportivo Garcilaso,,,Carlos Javier Beltrán,4-2-3-1,4-2-3-1,Joel Alarcón,Match Report,
125,2023-09-30,15:00,Liga 1,Torneo Clausura,Sat,Home,W,2,0,Atlético Grau,,,Carlos Javier Beltrán,4-2-3-1,4-2-3-1,Roberto Pérez,Match Report,
126,2023-10-07,13:00,Liga 1,Torneo Clausura,Sat,Away,L,1,4,Dep Municipal,,,Carlos Javier Beltrán,4-2-3-1,4-3-3,Fernando Legario,Match Report,
127,2023-10-22,20:00,Liga 1,Torneo Clausura,Sun,Home,W,1,0,Sporting Cristal,,"42,000",Carlos Javier Beltrán,4-2-3-1,3-4-3,Kevin Ortega,Match Report,
128,2023-10-28,15:15,Liga 1,Torneo Clausura,Sat,Away,L,1,2,Sport Boys,,,Carlos Javier Beltrán,4-2-3-1,4-3-3,Daniel Ureta,Match Report,
129,2024-01-27,20:00,Liga 1,Torneo Apertura,Sat,Home,W,1,0,Comerciantes Unidos,,,Germán Mera,4-2-3-1,4-2-3-1,,Match Report,
130,2024-02-03,15:00,Liga 1,Torneo Apertura,Sat,Away,D,1,1,ADT Tarma,,,Germán Mera,4-2-3-1,4-2-3-1,,Match Report,
131,2024-02-09,19:00,Liga 1,Torneo Apertura,Fri,Home,D,2,2,Sporting Cristal,,,Germán Mera,4-2-3-1,4-2-3-1,,Match Report,
132,2024-02-18,17:00,Liga 1,Torneo Apertura,Sun,Home,W,3,2,Sport Boys,,,Germán Mera,4-4-1-1,5-4-1,,Match Report,
133,2024-02-26,15:00,Liga 1,Torneo Apertura,Mon,Away,W,2,1,CDC Santa Rosa,,,Claudio Torrejón,4-4-1-1,4-2-3-1,,Match Report,
134,2024-03-03,19:00,Liga 1,Torneo Apertura,Sun,Home,D,2,2,Mannucci,,,Germán Mera,4-4-1-1,4-2-3-1,,Match Report,
135,2024-03-09,13:15,Liga 1,Torneo Apertura,Sat,Away,D,1,1,Atlético Grau,,,Germán Mera,4-4-1-1,4-2-3-1,,Match Report,
136,2024-03-13,18:30,Liga 1,Torneo Apertura,Wed,Home,W,2,1,Alianza Lima,,,Germán Mera,4-2-3-1,3-5-2,,Match Report,
137,2024-03-30,16:45,Liga 1,Torneo Apertura,Sat,Away,L,0,2,Melgar,,,Germán Mera,4-1-4-1,4-2-3-1,,Match Report,
138,2024-04-06,19:30,Liga 1,Torneo Apertura,Sat,Home,D,1,1,UTC,,,Germán Mera,4-1-4-1,4-2-3-1,,Match Report,
139,2024-04-12,15:00,Liga 1,Torneo Apertura,Fri,Away,W,2,1,Sport Huancayo,,,Claudio Torrejón,4-2-3-1,4-4-2,,Match Report,
140,2024-04-19,20:00,Liga 1,Torneo Apertura,Fri,Home,L,0,2,Deportivo Garcilaso,,,Claudio Torrejón,4-2-3-1,4-2-3-1,,Match Report,
141,2024-04-27,17:30,Liga 1,Torneo Apertura,Sat,Away,L,0,2,Cusco,,,Claudio Torrejón,4-2-3-1,4-3-3,,Match Report,
142,2024-05-03,18:00,Liga 1,Torneo Apertura,Fri,Home,D,1,1,U César Vallejo,,,Claudio Torrejón,4-2-3-1,5-4-1,,Match Report,
143,2024-05-13,14:30,Liga 1,Torneo Apertura,Mon,Away,W,1,0,Alianza Atlético,,,Claudio Torrejón,4-2-3-1,4-4-2,,Match Report,
144,2024-05-20,20:00,Liga 1,Torneo Apertura,Mon,Home,D,0,0,Universitario,,,Claudio Torrejón,4-2-3-1,3-1-4-2,,Match Report,
145,2024-05-27,14:30,Liga 1,Torneo Apertura,Mon,Away,D,1,1,Unión Comercio,,,Claudio Torrejón,4-2-3-1,4-1-4-1,,Match Report,
146,2024-07-13,13:00,Liga 1,Torneo Clausura,Sat,Away,W,2,1,Comerciantes Unidos,,,Claudio Torrejón,5-4-1,4-2-3-1,,Match Report,
147,2024-07-21,18:00,Liga 1,Torneo Clausura,Sun,Home,L,0,1,ADT Tarma,,,Claudio Torrejón,3-4-1-2,3-4-1-2,Joel Alarcón,Match Report,
148,2024-07-27,13:00,Liga 1,Torneo Clausura,Sat,Away,L,1,5,Sporting Cristal,,,Claudio Torrejón,5-3-2,4-3-3,,Match Report,
149,2024-07-30,15:00,Liga 1,Torneo Clausura,Tue,Away,L,0,2,Sport Boys,,,Claudio Torrejón,5-3-2,4-4-2,,Match Report,
150,2024-08-03,18:00,Liga 1,Torneo Clausura,Sat,Home,D,0,0,CDC Santa Rosa,,,Claudio Torrejón,5-3-2,4-2-3-1,,Match Report,
151,2024-08-11,15:00,Liga 1,Torneo Clausura,Sun,Away,W,2,1,Mannucci,,,Claudio Torrejón,5-3-2,3-4-3,,Match Report,
152,2024-08-17,15:15,Liga 1,Torneo Clausura,Sat,Home,W,1,0,Atlético Grau,,,Claudio Torrejón,5-3-2,4-4-2,,Match Report,
153,2024-08-20,20:30,Liga 1,Torneo Clausura,Tue,Away,L,0,3,Alianza Lima,,,Claudio Torrejón,5-3-2,4-3-3,,Match Report,
154,2024-08-25,20:00,Liga 1,Torneo Clausura,Sun,Home,W,3,1,Melgar,,,Claudio Torrejón,4-3-3,4-2-3-1,,Match Report,
155,2024-09-13,13:00,Liga 1,Torneo Clausura,Fri,Away,W,2,1,UTC,,,Claudio Torrejón,4-2-3-1,4-2-3-1,Augusto Méndez,Match Report,
156,2024-09-18,18:30,Liga 1,Torneo Clausura,Wed,Home,W,3,1,Sport Huancayo,,,Claudio Torrejón,4-2-3-1,4-4-2,Jesús Cartagena,Match Report,
157,2024-09-21,18:30,Liga 1,Torneo Clausura,Sat,Away,L,0,1,Deportivo Garcilaso,,,Claudio Torrejón,4-2-3-1,4-4-2,Daniel Ureta,Match Report,
158,2024-09-28,17:30,Liga 1,Torneo Clausura,Sat,Home,L,1,2,Cusco,,,Claudio Torrejón,4-2-3-1,4-2-3-1,Michael Espinoza,Match Report,
159,2024-10-18,17:30,Liga 1,Torneo Clausura,Fri,Away,D,2,2,U César Vallejo,,,Claudio Torrejón,4-2-3-1,4-2-3-1,Diego Haro,Match Report,
160,2024-10-23,17:30,Liga 1,Torneo Clausura,Wed,Home,W,3,0,Alianza Atlético,,,Claudio Torrejón,4-2-3-1,4-3-3,Micke Palomino,Match Report,
161,2024-10-27,18:00,Liga 1,Torneo Clausura,Sun,Away,L,1,3,Universitario,,,Alfredo Ramúa,5-3-2,3-5-2,Fernando Legario,Match Report,
162,2024-10-31,17:30,Liga 1,Torneo Clausura,Thu,Home,W,7,0,Unión Comercio,,,Claudio Torrejón,4-4-2,4-4-2,Jordy Espinoza,Match Report,
