,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
65,2022-04-24,11:00,Liga 1,Torneo Apertura,Sun,Away,L,0,2,Carlos Stein,,,Salomón Libman,4-2-3-1,4-2-3-1,Luis Ciriaco Liñan,Match Report,
66,2022-05-02,15:30,Liga 1,Torneo Apertura,Mon,Home,W,3,1,USMP,,,Salomón Libman,4-2-3-1,4-2-3-1,Fernando Legario,Match Report,
67,2022-05-07,19:30,Liga 1,Torneo Apertura,Sat,Away,L,1,3,U César Vallejo,,,Salomón Libman,4-3-3,5-4-1,Pablo López,Match Report,
68,2022-05-14,15:30,Liga 1,Torneo Apertura,Sat,Home,W,4,3,Dep Municipal,,,Salomón Libman,4-2-3-1,4-2-3-1,Kevin Ortega,Match Report,
69,2022-05-21,15:30,Liga 1,Torneo Apertura,Sat,Away,L,2,3,Cienciano,,,Salomón Libman,4-3-3,4-4-2,Jonathan Zamora,Match Report,
70,2022-05-31,15:00,Liga 1,Torneo Apertura,Tue,Home,W,2,0,Binacional,,,Salomón Libman,4-2-3-1,4-3-3,Luis Garay Evia,Match Report,
71,2022-06-19,15:00,Liga 1,Torneo Apertura,Sun,Away,W,2,1,ADT Tarma,,,Salomón Libman,4-2-3-1,4-2-3-1,Robin Segura Tuanama,Match Report,
72,2022-06-24,15:30,Liga 1,Torneo Apertura,Fri,Home,L,1,2,Mannucci,,,Salomón Libman,4-3-1-2,4-4-2,Jasmani Chambi,Match Report,
73,2022-07-03,20:00,Liga 1,Torneo Apertura,Sun,Away,L,0,1,Universitario,,,Salomón Libman,4-2-3-1,4-2-3-1,Luis Garay Evia,Match Report,
74,2022-07-11,13:00,Liga 1,Torneo Clausura,Mon,Away,L,0,3,Sport Boys,,,Salomón Libman,4-3-3,4-3-3,Luis Seminario,Match Report,
75,2022-07-18,15:30,Liga 1,Torneo Clausura,Mon,Home,W,2,1,Alianza Atlético,,,Werner Schuler,4-3-3,4-3-3,Julio Quiróz,Match Report,
76,2022-07-23,13:00,Liga 1,Torneo Clausura,Sat,Away,L,1,3,Atlético Grau,,,Werner Schuler,4-3-3,4-2-3-1,Robin Segura Tuanama,Match Report,
77,2022-07-26,15:15,Liga 1,Torneo Clausura,Tue,Home,L,0,2,Sporting Cristal,,,Werner Schuler,5-4-1,4-3-3,Wilfredo Blas,Match Report,
78,2022-07-29,15:30,Liga 1,Torneo Clausura,Fri,Away,L,0,1,Melgar,,,Werner Schuler,5-3-2,4-3-3,Daniel Ureta,Match Report,
79,2022-08-14,15:30,Liga 1,Torneo Clausura,Sun,Away,L,0,4,Sport Huancayo,,,Salomón Libman,4-2-3-1,4-2-3-1,Julio Quiróz,Match Report,
80,2022-08-19,15:00,Liga 1,Torneo Clausura,Fri,Home,W,2,1,Ayacucho,,,Salomón Libman,4-4-2◆,5-4-1,Kevin Ortega,Match Report,
81,2022-08-28,15:30,Liga 1,Torneo Clausura,Sun,Home,D,1,1,Alianza Lima,,,Salomón Libman,4-2-3-1,4-4-2,Roberto Pérez,Match Report,
82,2022-09-04,11:00,Liga 1,Torneo Clausura,Sun,Away,D,0,0,Cantolao,,,Salomón Libman,4-2-3-1,4-2-3-1,Luis Garay Evia,Match Report,
83,2022-09-09,15:30,Liga 1,Torneo Clausura,Fri,Home,W,4,0,Carlos Stein,,,Salomón Libman,4-2-3-1,4-2-3-1,Wilfredo Blas,Match Report,
84,2022-09-18,11:00,Liga 1,Torneo Clausura,Sun,Away,W,5,1,USMP,,,Salomón Libman,4-2-3-1,4-3-3,Luis Garay Evia,Match Report,
85,2022-09-30,15:30,Liga 1,Torneo Clausura,Fri,Home,W,4,0,U César Vallejo,,,Salomón Libman,4-2-3-1,5-3-2,Micke Palomino,Match Report,
86,2022-10-04,15:15,Liga 1,Torneo Clausura,Tue,Away,W,2,1,Dep Municipal,,,Salomón Libman,4-2-3-1,4-2-3-1,Alejandro Villanueva,Match Report,
87,2022-10-07,15:30,Liga 1,Torneo Clausura,Fri,Home,W,2,1,Cienciano,,"5,000",Salomón Libman,4-2-3-1,4-2-3-1,Daniel Ureta,Match Report,
