,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
79,2022-05-15,18:00,Liga 1,Torneo Apertura,Sun,Home,D,3,3,Cienciano,,,Víctor Balta,5-3-2,4-3-3,Jordy Espinoza,Match Report,
80,2022-05-22,18:00,Liga 1,Torneo Apertura,Sun,Away,L,0,1,Binacional,,,Ricardo Salcedo,3-4-1-2,4-3-3,Joel Alarcón,Match Report,
81,2022-05-30,15:30,Liga 1,Torneo Apertura,Mon,Home,W,4,1,Alianza Atlético,,,Víctor Balta,3-4-3,5-4-1,Edwin Ordóñez,Match Report,
82,2022-06-05,15:30,Liga 1,Torneo Apertura,Sun,Home,W,2,0,Alianza Lima,,,Víctor Balta,5-3-2,4-3-3,Jonathan Zamora,Match Report,
83,2022-06-20,15:00,Liga 1,Torneo Apertura,Mon,Away,D,1,1,Ayacucho,,,Víctor Balta,5-3-2,4-2-3-1,Roberto Pérez,Match Report,
84,2022-06-26,15:30,Liga 1,Torneo Apertura,Sun,Home,W,2,0,Universitario,,,Víctor Balta,5-3-2,4-2-3-1,Joel Alarcón,Match Report,
85,2022-07-03,15:00,Liga 1,Torneo Apertura,Sun,Away,W,3,2,Sport Boys,,,Víctor Balta,5-3-2,4-3-3,Jesús Cartagena,Match Report,
86,2022-07-09,13:00,Liga 1,Torneo Clausura,Sat,Away,L,3,4,Sporting Cristal,,,Víctor Balta,3-4-1-2,4-2-3-1,Hibert Villegas,Match Report,
87,2022-07-16,18:00,Liga 1,Torneo Clausura,Sat,Home,D,1,1,Atlético Grau,,,Víctor Balta,3-4-1-2,4-4-2,Edwin Ordóñez,Match Report,
88,2022-07-23,18:00,Liga 1,Torneo Clausura,Sat,Away,L,0,1,Melgar,,,Víctor Balta,3-4-1-2,4-2-3-1,Kevin Ortega,Match Report,
89,2022-07-26,17:30,Liga 1,Torneo Clausura,Tue,Home,W,4,0,Mannucci,,,Joel Pinto,3-4-1-2,3-4-3,Fernando Legario,Match Report,
90,2022-08-06,18:00,Liga 1,Torneo Clausura,Sat,Home,D,1,1,ADT Tarma,,,Víctor Balta,3-4-1-2,4-2-3-1,Micke Palomino,Match Report,
91,2022-08-14,15:30,Liga 1,Torneo Clausura,Sun,Home,W,4,0,UTC,,,Víctor Balta,4-2-3-1,4-2-3-1,Julio Quiróz,Match Report,
92,2022-08-21,11:00,Liga 1,Torneo Clausura,Sun,Away,L,0,1,Alianza Lima,,,Víctor Balta,4-2-3-1,4-4-2,Joel Alarcón,Match Report,
93,2022-08-27,15:30,Liga 1,Torneo Clausura,Sat,Home,D,1,1,Cantolao,,,Víctor Balta,4-2-3-1,4-2-3-1,Daniel Ureta,Match Report,
94,2022-09-04,13:00,Liga 1,Torneo Clausura,Sun,Away,W,1,0,Carlos Stein,,,Víctor Balta,3-4-1-2,4-2-3-1,Sebastián Lozano,Match Report,
95,2022-09-12,15:30,Liga 1,Torneo Clausura,Mon,Home,W,3,2,USMP,,,Víctor Balta,4-4-2,4-3-3,Julio Quiróz,Match Report,
