,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
55,2023-07-01,15:30,Liga 1,Torneo Clausura,Sat,Home,W,2,0,Binacional,,,Ignacio Barrios,4-2-3-1,4-3-3,Jesús Cartagena,Match Report,
56,2023-07-15,13:00,Liga 1,Torneo Clausura,Sat,Away,W,2,1,Deportivo Garcilaso,,,Ignacio Barrios,4-2-3-1,4-2-3-1,Jesús Cartagena,Match Report,
57,2023-07-23,15:30,Liga 1,Torneo Clausura,Sun,Home,W,1,0,Atlético Grau,,,Ignacio Barrios,4-2-3-1,4-2-3-1,Jonathan Zamora,Match Report,
58,2023-08-01,15:00,Liga 1,Torneo Clausura,Tue,Away,W,2,1,Dep Municipal,,,Ignacio Barrios,4-2-3-1,4-2-3-1,Jordy Espinoza,Match Report,
59,2023-08-06,15:15,Liga 1,Torneo Clausura,Sun,Home,D,1,1,Sporting Cristal,,,Ignacio Barrios,4-2-3-1,4-1-4-1,Daniel Ureta,Match Report,
60,2023-08-12,13:00,Liga 1,Torneo Clausura,Sat,Away,D,1,1,Sport Boys,,,Ignacio Barrios,4-2-3-1,4-3-3,Fernando Legario,Match Report,
61,2023-08-16,15:15,Liga 1,Torneo Clausura,Wed,Home,W,2,0,Universitario,,,Ignacio Barrios,4-2-3-1,3-5-2,Joel Alarcón,Match Report,
62,2023-08-21,18:00,Liga 1,Torneo Clausura,Mon,Away,D,1,1,U César Vallejo,,,Ignacio Barrios,4-2-3-1,4-2-3-1,Augusto Menéndez,Match Report,
63,2023-08-28,13:00,Liga 1,Torneo Clausura,Mon,Home,D,0,0,UTC,,,Willyan Mimbela,4-2-3-1,4-2-3-1,Michael Espinoza,Match Report,
64,2023-09-02,15:15,Liga 1,Torneo Clausura,Sat,Away,L,0,1,Cusco,,,Hernán Rengifo,4-2-3-1,4-2-3-1,Kevin Ortega,Match Report,
65,2023-09-17,15:00,Liga 1,Torneo Clausura,Sun,Home,W,2,1,Sport Huancayo,,,Ignacio Barrios,4-2-3-1,4-2-3-1,Roberto Pérez,Match Report,
66,2023-09-20,18:30,Liga 1,Torneo Clausura,Wed,Away,D,2,2,Cienciano,,,Hernán Rengifo,4-2-3-1,4-2-3-1,Michael Espinoza,Match Report,
67,2023-09-24,13:00,Liga 1,Torneo Clausura,Sun,Home,W,1,0,Alianza Atlético,,,Hernán Rengifo,4-2-3-1,4-3-3,Augusto Menéndez,Match Report,
68,2023-10-01,15:20,Liga 1,Torneo Clausura,Sun,Away,W,1,0,Cantolao,,,Ignacio Barrios,4-2-3-1,5-4-1,Michael Espinoza,Match Report,
69,2023-10-08,15:20,Liga 1,Torneo Clausura,Sun,Home,W,3,0,Unión Comercio,,,Hernán Rengifo,4-2-2-2,4-2-3-1,Edwin Ordóñez,Match Report,
70,2023-10-21,16:00,Liga 1,Torneo Clausura,Sat,Away,D,0,0,Alianza Lima,,,Ignacio Barrios,4-4-2,4-2-3-1,Roberto Pérez,Match Report,
71,2023-10-29,15:00,Liga 1,Torneo Clausura,Sun,Home,D,0,0,Mannucci,,,Ignacio Barrios,4-2-3-1,4-3-3,Jordy Espinoza,Match Report,
72,2024-01-27,15:00,Liga 1,Torneo Apertura,Sat,Away,L,2,6,Sporting Cristal,,,Gu-Rum Choi,4-2-3-1,4-2-3-1,,Match Report,
