,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
38,2021-04-25,15:30,Liga 1,Group Stage,Sun,Home,L,0,1,Sporting Cristal,,,José Carvallo,4-2-3-1,4-3-3,Michael Espinoza,Match Report,
39,2021-04-28,19:00,Libertadores,Group stage,Wed,Away,L,0,3,ar Defensa y Just,38,,José Carvallo,4-2-3-1,3-4-3,Angelo Hermosilla,Match Report,
40,2021-05-01,15:30,Liga 1,Group Stage,Sat,Away,W,2,1,Alianza Atlético,,,Nelinho Quina,3-5-2,4-2-3-1,Micke Palomino,Match Report,
41,2021-05-05,17:00,Libertadores,Group stage,Wed,Away,L,0,4,ec Independiente,27,,José Carvallo,4-3-3,3-5-2,Andrés Cunha,Match Report,
42,2021-05-08,13:15,Liga 1,Group Stage,Sat,Home,W,3,2,Cienciano,,,José Carvallo,3-5-2,3-4-3,Kevin Ortega,Match Report,
43,2021-05-10,15:30,Liga 1,Group Stage,Mon,Home,W,1,0,UTC,,,Patrick Zubczuk,5-3-2,4-2-3-1,Joel Alarcón,Match Report,
44,2021-05-12,21:00,Libertadores,Group stage,Wed,Home,D,1,1,ar Defensa y Just,40,,José Carvallo,5-3-2,3-5-2,Nicolás Gallo,Match Report,
45,2021-05-15,15:30,Liga 1,Group Stage,Sat,Away,D,3,3,Ayacucho,,,Nelinho Quina,3-5-2,4-2-3-1,Roberto Pérez,Match Report,
46,2021-05-18,19:30,Libertadores,Group stage,Tue,Home,W,3,2,ec Independiente,36,,José Carvallo,5-3-2,3-4-1-2,Piero Maza,Match Report,
47,2021-05-23,15:30,Liga 1,Group Stage,Sun,Home,D,0,0,Mannucci,,,José Carvallo,5-4-1,4-2-3-1,Fernando Legario,Match Report,
48,2021-05-27,19:00,Libertadores,Group stage,Thu,Away,L,0,6,br Palmeiras,43,,José Carvallo,5-3-2,3-5-2,Cristián Garay,Match Report,
49,2021-07-19,15:30,Liga 1,Torneo Clausura,Mon,Home,D,2,2,Alianza Atlético,,,José Carvallo,4-2-3-1,4-4-2,Luis Garay Evia,Match Report,
50,2021-07-25,15:30,Liga 1,Torneo Clausura,Sun,Away,W,1,0,UTC,,,José Carvallo,4-3-1-2,4-2-3-1,Jesús Cartagena,Match Report,
51,2021-07-31,13:15,Liga 1,Torneo Clausura,Sat,Home,L,1,3,Mannucci,,,José Carvallo,4-4-2◆,4-4-2,Augusto Méndez,Match Report,
52,2021-08-03,19:03,Liga 1,Torneo Clausura,Tue,Away,D,2,2,Sporting Cristal,,,José Carvallo,4-3-1-2,4-1-4-1,Roberto Pérez,Match Report,
53,2021-08-09,13:15,Liga 1,Torneo Clausura,Mon,Home,W,3,1,Cienciano,,,José Carvallo,3-4-1-2,4-3-3,Joel Alarcón,Match Report,
54,2021-08-14,13:15,Liga 1,Torneo Clausura,Sat,Away,D,1,1,Ayacucho,,,José Carvallo,3-4-1-2,3-4-1-2,Luis Garay Evia,Match Report,
55,2021-08-18,19:30,Liga 1,Torneo Clausura,Wed,Home,L,1,2,Alianza Lima,,,José Carvallo,3-4-1-2,3-5-2,Augusto Menéndez,Match Report,
56,2021-08-22,15:30,Liga 1,Torneo Clausura,Sun,Away,D,0,0,Sport Boys,,,José Carvallo,4-2-3-1,5-3-2,Michael Espinoza,Match Report,
57,2021-08-28,15:30,Liga 1,Torneo Clausura,Sat,Home,D,2,2,Cantolao,,,Patrick Zubczuk,4-2-3-1,4-2-3-1,Fernando Legario,Match Report,
58,2021-09-13,15:30,Liga 1,Torneo Clausura,Mon,Away,W,2,0,USMP,,,José Carvallo,4-3-3,4-2-3-1,Diego Haro,Match Report,
59,2021-09-19,15:30,Liga 1,Torneo Clausura,Sun,Home,L,0,2,Dep Municipal,,,José Carvallo,4-3-3,4-2-3-1,Michael Espinoza,Match Report,
60,2021-09-23,15:30,Liga 1,Torneo Clausura,Thu,Away,W,4,0,Alianza Univ,,,José Carvallo,4-2-3-1,4-2-3-1,Roberto Pérez,Match Report,
61,2021-09-26,15:30,Liga 1,Torneo Clausura,Sun,Away,W,3,1,Sport Huancayo,,,José Carvallo,4-2-3-1,4-3-3,Luis Garay Evia,Match Report,
62,2021-10-03,15:30,Liga 1,Torneo Clausura,Sun,Home,W,3,0,U César Vallejo,,,Nelinho Quina,4-2-3-1,3-4-3,Víctor Carrillo,Match Report,
63,2021-10-18,13:15,Liga 1,Torneo Clausura,Mon,Away,W,2,1,Binacional,,,José Carvallo,4-3-3,5-4-1,Edwin Ordóñez,Match Report,
64,2021-10-23,15:30,Liga 1,Torneo Clausura,Sat,Home,W,2,1,Cusco,,,José Carvallo,4-3-3,3-4-3,Diego Haro,Match Report,
65,2021-10-31,15:30,Liga 1,Torneo Clausura,Sun,Away,W,2,1,Melgar,,,José Carvallo,4-3-3,4-3-3,Joel Alarcón,Match Report,
66,2022-02-06,15:30,Liga 1,Torneo Apertura,Sun,Away,W,3,0,Cantolao,,,José Carvallo,4-3-3,4-2-3-1,Jesús Cartagena,Match Report,
67,2022-02-11,19:00,Liga 1,Torneo Apertura,Fri,Home,W,3,0,USMP,,,José Carvallo,4-3-3,4-2-3-1,Kevin Ortega,Match Report,
68,2022-02-19,11:30,Liga 1,Torneo Apertura,Sat,Away,L,1,2,Carlos Stein,,,José Carvallo,4-2-2-2,4-3-3,Fernando Legario,Match Report,
69,2022-02-23,19:30,Libertadores,Second qualifying stage,Wed,Away,L,0,2,ec Barcelona,35,,José Carvallo,4-3-3,4-2-3-1,José Argote,Match Report,Leg 1 of 2
70,2022-02-27,15:30,Liga 1,Torneo Apertura,Sun,Home,W,3,0,U César Vallejo,,,José Carvallo,4-3-3,4-3-3,Jordy Espinoza,Match Report,
71,2022-03-02,19:30,Libertadores,Second qualifying stage,Wed,Home,L,0,1,ec Barcelona,61,,José Carvallo,4-4-2,4-2-3-1,Andrés Matonte,Match Report,Leg 2 of 2; Barcelona won
72,2022-03-05,15:00,Liga 1,Torneo Apertura,Sat,Away,L,1,2,Dep Municipal,,,José Carvallo,4-3-3,4-3-3,Roberto Pérez,Match Report,
73,2022-03-12,19:30,Liga 1,Torneo Apertura,Sat,Home,D,1,1,Cienciano,,,José Carvallo,4-2-3-1,4-2-3-1,Luis Seminario,Match Report,
74,2022-03-20,18:00,Liga 1,Torneo Apertura,Sun,Away,L,0,1,Binacional,,,Nelinho Quina,5-4-1,4-3-3,Edwin Ordóñez,Match Report,
75,2022-04-04,20:00,Liga 1,Torneo Apertura,Mon,Home,W,2,1,ADT Tarma,,,Nelinho Quina,4-2-3-1,4-4-2,Hibert Villegas,Match Report,
76,2022-04-10,15:30,Liga 1,Torneo Apertura,Sun,Away,W,2,1,Ayacucho,,,Nelinho Quina,3-4-3,3-4-3,Joel Alarcón,Match Report,
77,2022-04-17,15:00,Liga 1,Torneo Apertura,Sun,Home,L,1,4,Alianza Lima,,,Nelinho Quina,4-2-3-1,4-2-3-1,Kevin Ortega,Match Report,
78,2022-04-24,15:30,Liga 1,Torneo Apertura,Sun,Home,D,1,1,Sport Boys,,,José Carvallo,4-2-3-1,4-3-3,Michael Espinoza,Match Report,
