,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
42,2022-05-07,13:15,Liga 1,Torneo Apertura,Sat,Away,L,1,2,Sport Boys,,,Raúl Fernández,4-2-3-1,4-3-3,Augusto Menéndez,Match Report,
43,2022-05-16,11:00,Liga 1,Torneo Apertura,Mon,Away,D,1,1,Carlos Stein,,,Raúl Fernández,4-2-3-1,4-2-3-1,Pablo López,Match Report,
44,2022-05-22,13:00,Liga 1,Torneo Apertura,Sun,Home,L,1,2,Alianza Atlético,,,Paolo de la Haza,4-3-3,4-2-3-1,Hibert Villegas,Match Report,
45,2022-05-28,18:00,Liga 1,Torneo Apertura,Sat,Away,L,0,1,Mannucci,,,Paolo de la Haza,4-2-3-1,4-4-2,Augusto Menéndez,Match Report,
46,2022-06-19,13:00,Liga 1,Torneo Apertura,Sun,Home,L,0,2,Sporting Cristal,,,Raúl Fernández,4-4-2,4-3-3,Daniel Ureta,Match Report,
47,2022-06-24,19:00,Liga 1,Torneo Apertura,Fri,Away,L,0,1,Melgar,,,Rodrigo Salinas,4-3-3,4-2-3-1,Jesús Cartagena,Match Report,
48,2022-07-10,13:00,Liga 1,Torneo Clausura,Sun,Home,L,1,2,Alianza Lima,,,Rodrigo Salinas,3-4-3,4-4-2,David Huaman,Match Report,
49,2022-07-16,18:00,Liga 1,Torneo Clausura,Sat,Away,D,1,1,Sport Huancayo,,,Rodrigo Salinas,4-4-2,3-4-1-2,Edwin Ordóñez,Match Report,
50,2022-07-23,13:00,Liga 1,Torneo Clausura,Sat,Home,W,3,1,UTC,,,Rodrigo Salinas,4-2-3-1,4-3-3,Robin Segura Tuanama,Match Report,
51,2022-07-26,13:00,Liga 1,Torneo Clausura,Tue,Away,W,2,1,Cantolao,,,Rodrigo Salinas,4-4-2,4-2-3-1,Luis Seminario,Match Report,
52,2022-07-31,13:00,Liga 1,Torneo Clausura,Sun,Home,W,1,0,USMP,,,Rodrigo Salinas,5-3-2,4-3-3,Beider Joel Vásquez Guevara,Match Report,
53,2022-08-07,11:00,Liga 1,Torneo Clausura,Sun,Away,W,1,0,U César Vallejo,,,Rodrigo Salinas,4-3-3,3-4-3,Robin Segura Tuanama,Match Report,
54,2022-08-14,13:00,Liga 1,Torneo Clausura,Sun,Home,W,2,1,Dep Municipal,,,Rodrigo Salinas,4-1-3-2,4-1-4-1,Daniel Ureta,Match Report,
55,2022-08-20,15:30,Liga 1,Torneo Clausura,Sat,Away,D,2,2,Cienciano,,,Rodrigo Salinas,3-4-3,3-4-3,Sebastián Lozano,Match Report,
56,2022-08-28,13:00,Liga 1,Torneo Clausura,Sun,Home,W,3,1,Binacional,,,Rodrigo Salinas,4-1-3-2,4-4-1-1,Kevin Ortega,Match Report,
57,2022-09-04,15:00,Liga 1,Torneo Clausura,Sun,Away,D,1,1,ADT Tarma,,,Rodrigo Salinas,4-1-3-2,4-2-3-1,Hibert Villegas,Match Report,
58,2022-09-11,13:00,Liga 1,Torneo Clausura,Sun,Home,W,3,0,Ayacucho,,,Jean Tragodara,4-2-3-1,3-4-3,Daniel Ureta,Match Report,
59,2022-09-17,19:00,Liga 1,Torneo Clausura,Sat,Away,L,0,2,Universitario,,,Rodrigo Salinas,5-3-2,4-2-3-1,Kevin Ortega,Match Report,
60,2022-09-29,13:00,Liga 1,Torneo Clausura,Thu,Home,W,3,0,Sport Boys,,,,4-2-3-1,3-4-3,Roberto Pérez,Match Report,
61,2022-10-04,13:00,Liga 1,Torneo Clausura,Tue,Home,D,0,0,Carlos Stein,,,Rodrigo Salinas,4-2-3-1,4-3-3,Edwin Ordóñez,Match Report,
62,2022-10-09,11:00,Liga 1,Torneo Clausura,Sun,Away,L,1,4,Alianza Atlético,,,Rodrigo Salinas,4-2-3-1,4-2-3-1,Jesús Cartagena,Match Report,
63,2022-10-16,13:00,Liga 1,Torneo Clausura,Sun,Home,W,2,1,Mannucci,,,Raúl Fernández,4-2-3-1,4-3-3,Pablo López,Match Report,
64,2022-10-20,13:15,Liga 1,Torneo Clausura,Thu,Away,W,2,1,Sporting Cristal,,,Raúl Fernández,4-2-3-1,4-3-3,Joel Alarcón,Match Report,
65,2022-10-24,15:00,Liga 1,Torneo Clausura,Mon,Home,W,2,1,Melgar,,,Raúl Fernández,4-2-3-1,4-4-2,Michael Espinoza,Match Report,
66,2023-02-04,13:00,Liga 1,Torneo Apertura,Sat,Home,W,3,0,Melgar,,,,,,Edwin Ordóñez,Match Report,Match awarded to Atlético Grau
67,2023-02-11,15:00,Liga 1,Torneo Apertura,Sat,Away,W,4,2,Binacional,,,,4-3-3,4-2-3-1,Pablo López,Match Report,
68,2023-02-19,13:00,Liga 1,Torneo Apertura,Sun,Home,D,1,1,ADT Tarma,,,Ronald Ruíz,4-3-3,4-2-3-1,Luis Ciriaco Liñan,Match Report,
69,2023-02-25,15:30,Liga 1,Torneo Apertura,Sat,Away,L,0,2,Deportivo Garcilaso,,,Ronald Ruíz,4-2-3-1,4-2-3-1,Jordy Espinoza,Match Report,
70,2023-03-12,13:00,Liga 1,Torneo Apertura,Sun,Home,D,1,1,Dep Municipal,,,Raúl Fernández,4-2-3-1,3-5-1-1,Diego Haro,Match Report,
71,2023-03-19,15:30,Liga 1,Torneo Apertura,Sun,Away,L,1,2,Sporting Cristal,,,Raúl Fernández,4-2-3-1,3-4-3,Hibert Villegas,Match Report,
72,2023-03-26,13:00,Liga 1,Torneo Apertura,Sun,Home,L,1,2,Alianza Lima,,,Raúl Fernández,4-2-3-1,4-2-3-1,Edwin Ordóñez,Match Report,
73,2023-04-02,15:30,Liga 1,Torneo Apertura,Sun,Home,W,3,0,Sport Boys,,,Raúl Fernández,4-2-3-1,4-2-3-1,Alejandro Villanueva,Match Report,
74,2023-04-09,18:00,Liga 1,Torneo Apertura,Sun,Away,L,1,2,Universitario,,,Raúl Fernández,5-3-2,3-5-2,Daniel Ureta,Match Report,
75,2023-04-15,13:00,Liga 1,Torneo Apertura,Sat,Home,D,1,1,U César Vallejo,,,Rodrigo Salinas,5-3-2,4-2-3-1,Augusto Menéndez,Match Report,
76,2023-04-21,15:30,Liga 1,Torneo Apertura,Fri,Away,D,1,1,UTC,,,Rodrigo Salinas,3-4-3,4-2-3-1,Wilfredo Blas,Match Report,
77,2023-04-29,13:00,Liga 1,Torneo Apertura,Sat,Home,W,3,0,Cusco,,,Rodrigo Salinas,4-4-2,4-2-3-1,Kevin Ortega,Match Report,
78,2023-05-06,15:30,Liga 1,Torneo Apertura,Sat,Away,L,0,1,Sport Huancayo,,,Rodrigo Salinas,4-4-2,4-2-3-1,Edwin Ordóñez,Match Report,
79,2023-05-13,19:00,Liga 1,Torneo Apertura,Sat,Away,L,0,1,Mannucci,,,Rodrigo Salinas,4-2-3-1,4-2-3-1,Diego Haro,Match Report,
80,2023-05-21,13:00,Liga 1,Torneo Apertura,Sun,Home,W,4,0,Cienciano,,,Rodrigo Salinas,4-2-3-1,4-1-4-1,Luis Ciriaco Liñan,Match Report,
81,2023-05-27,13:00,Liga 1,Torneo Apertura,Sat,Away,L,2,3,Alianza Atlético,,,Rodrigo Salinas,4-2-3-1,4-2-3-1,Michael Espinoza,Match Report,
82,2023-06-04,13:00,Liga 1,Torneo Apertura,Sun,Home,W,3,0,Cantolao,,,Rodrigo Salinas,4-4-2◆,4-2-3-1,Daniel Ureta,Match Report,
