,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
64,2023-02-19,18:00,Liga 1,Torneo Apertura,Sun,Away,L,1,2,Cusco,,,Néstor Adrián Fernández,3-4-3,4-1-3-2,Jonathan Zamora,Match Report,
65,2023-02-25,13:00,Liga 1,Torneo Apertura,Sat,Home,W,4,2,Sport Huancayo,,,Néstor Adrián Fernández,4-2-3-1,4-2-3-1,Pablo López,Match Report,
66,2023-03-18,13:00,Liga 1,Torneo Apertura,Sat,Home,W,2,1,Cantolao,,,Néstor Adrián Fernández,3-4-3,4-4-2,Pablo López,Match Report,
67,2023-03-26,16:00,Liga 1,Torneo Apertura,Sun,Away,W,1,0,Sport Boys,,,Néstor Adrián Fernández,4-2-3-1,4-4-2,Joel Alarcón,Match Report,
68,2023-04-02,13:00,Liga 1,Torneo Apertura,Sun,Away,D,3,3,Unión Comercio,,,Néstor Adrián Fernández,4-4-2,4-2-3-1,Jordy Espinoza,Match Report,
69,2023-04-09,13:00,Liga 1,Torneo Apertura,Sun,Home,L,0,1,Alianza Lima,,,Néstor Adrián Fernández,3-4-3,4-2-3-1,Augusto Menéndez,Match Report,
70,2023-04-16,19:00,Liga 1,Torneo Apertura,Sun,Away,L,0,1,Mannucci,,,Néstor Adrián Fernández,3-4-3,4-2-3-1,Fernando Legario,Match Report,
71,2023-04-24,13:00,Liga 1,Torneo Apertura,Mon,Home,D,3,3,Melgar,,,Néstor Adrián Fernández,3-4-3,4-4-2,Italo Gonzáles,Match Report,
72,2023-04-30,13:00,Liga 1,Torneo Apertura,Sun,Away,L,2,4,Binacional,,,Néstor Adrián Fernández,4-3-3,4-2-3-1,Daniel Ureta,Match Report,
73,2023-05-06,13:00,Liga 1,Torneo Apertura,Sat,Home,D,1,1,ADT Tarma,,,Néstor Adrián Fernández,3-2-4-1,4-2-3-1,Jonathan Zamora,Match Report,
74,2023-05-10,15:30,Liga 1,Torneo Apertura,Wed,Away,L,2,5,Cienciano,,,Néstor Adrián Fernández,3-4-3,4-1-4-1,Wilfredo Blas,Match Report,
75,2023-05-14,13:00,Liga 1,Torneo Apertura,Sun,Home,W,3,1,Universitario,,,Diego Melián,4-2-3-1,3-4-1-2,Augusto Menéndez,Match Report,
76,2023-05-20,18:00,Liga 1,Torneo Apertura,Sat,Away,L,2,3,Deportivo Garcilaso,,,Néstor Adrián Fernández,4-2-3-1,4-1-4-1,Daniel Ureta,Match Report,
77,2023-05-27,13:00,Liga 1,Torneo Apertura,Sat,Home,W,3,2,Atlético Grau,,,Néstor Adrián Fernández,4-2-3-1,4-2-3-1,Michael Espinoza,Match Report,
78,2023-06-03,15:00,Liga 1,Torneo Apertura,Sat,Away,L,1,2,Dep Municipal,,,Néstor Adrián Fernández,4-2-3-1,4-2-3-1,David Huaman,Match Report,
79,2023-06-11,13:00,Liga 1,Torneo Apertura,Sun,Home,D,0,0,Sporting Cristal,,,Néstor Adrián Fernández,4-2-3-1,3-4-3,Edwin Ordóñez,Match Report,
80,2023-06-25,13:00,Liga 1,Torneo Clausura,Sun,Home,L,1,2,Sport Boys,,,Néstor Adrián Fernández,4-2-3-1,4-2-3-1,Sebastián Lozano,Match Report,
81,2023-07-03,20:30,Liga 1,Torneo Clausura,Mon,Away,L,0,2,Universitario,,,Néstor Adrián Fernández,3-4-3,3-5-2,Joel Alarcón,Match Report,
82,2023-07-08,13:00,Liga 1,Torneo Clausura,Sat,Home,L,0,1,U César Vallejo,,,Néstor Adrián Fernández,4-2-3-1,4-4-2,Jesús Cartagena,Match Report,
83,2023-07-14,15:30,Liga 1,Torneo Clausura,Fri,Away,D,1,1,UTC,,,Néstor Adrián Fernández,3-4-3,4-2-3-1,Jordy Espinoza,Match Report,
84,2023-07-22,13:00,Liga 1,Torneo Clausura,Sat,Home,W,2,0,Cusco,,,Néstor Adrián Fernández,3-4-3,3-4-3,Julio Quiróz,Match Report,
85,2023-07-31,15:15,Liga 1,Torneo Clausura,Mon,Away,L,0,2,Sport Huancayo,,,Néstor Adrián Fernández,3-4-3,4-1-4-1,Micke Palomino,Match Report,
86,2023-08-06,13:00,Liga 1,Torneo Clausura,Sun,Home,W,2,1,Cienciano,,,Néstor Adrián Fernández,3-4-3,5-4-1,Joel Alarcón,Match Report,
87,2023-08-15,15:15,Liga 1,Torneo Clausura,Tue,Away,L,0,1,Cantolao,,,Néstor Adrián Fernández,4-2-3-1,4-4-2,Michael Espinoza,Match Report,
88,2023-08-19,13:00,Liga 1,Torneo Clausura,Sat,Home,D,2,2,Unión Comercio,,,Néstor Adrián Fernández,3-4-3,4-2-3-1,Daniel Ureta,Match Report,
89,2023-08-26,20:30,Liga 1,Torneo Clausura,Sat,Away,L,0,1,Alianza Lima,,,Néstor Adrián Fernández,4-2-3-1,4-2-3-1,Micke Palomino,Match Report,
90,2023-09-02,13:00,Liga 1,Torneo Clausura,Sat,Home,D,1,1,Mannucci,,,Néstor Adrián Fernández,4-3-3,4-4-2,Alejandro Villanueva,Match Report,
91,2023-09-15,15:20,Liga 1,Torneo Clausura,Fri,Away,L,0,4,Melgar,,,Róger Torres,4-2-3-1,3-5-1-1,Michael Espinoza,Match Report,
92,2023-09-19,13:00,Liga 1,Torneo Clausura,Tue,Home,W,1,0,Binacional,,,Néstor Adrián Fernández,4-2-3-1,4-3-3,Joel Alarcón,Match Report,
93,2023-09-24,13:00,Liga 1,Torneo Clausura,Sun,Away,L,0,1,ADT Tarma,,,Néstor Adrián Fernández,4-3-3,4-2-3-1,Augusto Menéndez,Match Report,
94,2023-10-01,13:00,Liga 1,Torneo Clausura,Sun,Home,W,2,0,Deportivo Garcilaso,,,Néstor Adrián Fernández,4-2-3-1,4-2-3-1,Edwin Ordóñez,Match Report,
95,2023-10-08,13:00,Liga 1,Torneo Clausura,Sun,Away,D,1,1,Atlético Grau,,,Néstor Adrián Fernández,4-2-3-1,3-4-3,Joel Alarcón,Match Report,
96,2023-10-21,13:00,Liga 1,Torneo Clausura,Sat,Home,L,1,2,Dep Municipal,,,Néstor Adrián Fernández,4-2-3-1,4-2-3-1,Jonathan Zamora,Match Report,
