,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
45,2021-08-17,11:00,Liga 1,Torneo Clausura,Tue,Home,L,2,3,Mannucci,,,Gonzalo Rizzo,4-2-3-1,4-4-2,Joel Alarcón,Match Report,
46,2021-08-22,18:00,Liga 1,Torneo Clausura,Sun,Away,L,1,4,Sporting Cristal,,,Alfredo Ramúa,4-2-3-1,4-3-3,Fernando Legario,Match Report,
47,2021-08-27,15:30,Liga 1,Torneo Clausura,Fri,Home,D,2,2,Cienciano,,,Alfredo Ramúa,4-2-3-1,4-3-3,Michael Espinoza,Match Report,
48,2021-09-11,13:15,Liga 1,Torneo Clausura,Sat,Away,W,3,1,Ayacucho,,,Mauricio Montes,4-4-2,4-2-3-1,Micke Palomino,Match Report,
49,2021-09-17,15:30,Liga 1,Torneo Clausura,Fri,Home,L,0,2,Alianza Lima,,,Mauricio Montes,4-3-3,3-4-3,Roberto Pérez,Match Report,
50,2021-09-22,11:00,Liga 1,Torneo Clausura,Wed,Away,L,2,3,Sport Boys,,,Mauricio Montes,4-3-3,5-3-2,Hibert Villegas,Match Report,
51,2021-09-27,11:00,Liga 1,Torneo Clausura,Mon,Home,W,3,2,Cantolao,,,Mauricio Montes,4-2-3-1,4-2-3-1,Pablo López,Match Report,
52,2021-10-03,10:30,Liga 1,Torneo Clausura,Sun,Away,D,1,1,USMP,,,Mauricio Montes,4-3-3,4-3-3,David Huaman,Match Report,
53,2021-10-18,11:00,Liga 1,Torneo Clausura,Mon,Home,L,3,5,Dep Municipal,,,Mauricio Montes,4-2-3-1,4-2-3-1,Kevin Ortega,Match Report,
54,2021-10-23,15:30,Liga 1,Torneo Clausura,Sat,Away,L,1,2,Universitario,,,Alfredo Ramúa,3-4-3,4-3-3,Diego Haro,Match Report,
55,2021-10-30,15:00,Liga 1,Torneo Clausura,Sat,Home,W,2,1,Sport Huancayo,,,Alfredo Ramúa,4-3-3,4-2-3-1,Roberto Pérez,Match Report,
56,2023-02-03,15:30,Liga 1,Torneo Apertura,Fri,Home,L,0,3,Sport Huancayo,,,,,,Jesús Cartagena,Match Report,Match awarded to Sport Huancayo
57,2023-02-10,19:00,Liga 1,Torneo Apertura,Fri,Away,L,0,2,Cienciano,,,Daniel Ferreyra,4-5-1,4-4-2,Diego Haro,Match Report,
58,2023-02-19,18:00,Liga 1,Torneo Apertura,Sun,Home,W,2,1,Alianza Atlético,,,Felipe Rodríguez,4-1-3-2,3-4-3,Jonathan Zamora,Match Report,
59,2023-02-27,15:30,Liga 1,Torneo Apertura,Mon,Away,W,3,2,Cantolao,,,Daniel Ferreyra,4-1-3-2,4-3-3,Jesús Cartagena,Match Report,
60,2023-03-06,15:30,Liga 1,Torneo Apertura,Mon,Home,W,2,1,Unión Comercio,,,Daniel Ferreyra,4-1-3-2,4-2-3-1,Edwin Ordóñez,Match Report,
61,2023-03-11,20:00,Liga 1,Torneo Apertura,Sat,Away,L,0,2,Alianza Lima,,,Daniel Ferreyra,4-1-3-2,4-3-3,Kevin Ortega,Match Report,
62,2023-03-20,15:30,Liga 1,Torneo Apertura,Mon,Home,W,3,0,Mannucci,,,Daniel Ferreyra,4-1-3-2,5-3-2,Alejandro Villanueva,Match Report,
63,2023-03-27,15:00,Liga 1,Torneo Apertura,Mon,Away,D,0,0,UTC,,,Daniel Ferreyra,4-2-3-1,4-2-3-1,Fernando Legario,Match Report,
64,2023-04-01,15:30,Liga 1,Torneo Apertura,Sat,Away,D,1,1,Melgar,,,Daniel Ferreyra,4-1-3-2,4-3-3,Luis Ciriaco Liñan,Match Report,
65,2023-04-07,15:30,Liga 1,Torneo Apertura,Fri,Home,W,2,1,Binacional,,,Daniel Ferreyra,4-2-3-1,4-1-4-1,Jesús Cartagena,Match Report,
66,2023-04-16,15:30,Liga 1,Torneo Apertura,Sun,Away,W,2,0,ADT Tarma,,,Daniel Ferreyra,4-2-3-1,4-2-3-1,Joel Alarcón,Match Report,
67,2023-04-23,15:30,Liga 1,Torneo Apertura,Sun,Home,W,2,1,Deportivo Garcilaso,,,Alfredo Ramúa,4-2-3-1,4-2-3-1,Michael Espinoza,Match Report,
68,2023-04-29,13:00,Liga 1,Torneo Apertura,Sat,Away,L,0,3,Atlético Grau,,,Daniel Ferreyra,4-2-3-1,4-4-2,Kevin Ortega,Match Report,
69,2023-05-05,15:30,Liga 1,Torneo Apertura,Fri,Home,W,1,0,Dep Municipal,,,Daniel Ferreyra,4-2-3-1,4-3-3,Alejandro Villanueva,Match Report,
70,2023-05-20,20:30,Liga 1,Torneo Apertura,Sat,Away,L,2,3,Sporting Cristal,,,Daniel Ferreyra,4-2-3-1,4-3-3,Edwin Ordóñez,Match Report,
71,2023-05-27,15:30,Liga 1,Torneo Apertura,Sat,Home,W,2,1,Sport Boys,,,Daniel Ferreyra,4-2-3-1,4-3-3,Jonathan Zamora,Match Report,
72,2023-06-02,20:30,Liga 1,Torneo Apertura,Fri,Away,L,0,1,Universitario,,,Daniel Ferreyra,3-4-3,3-4-1-2,Kevin Ortega,Match Report,
73,2023-06-11,15:30,Liga 1,Torneo Apertura,Sun,Home,W,2,0,U César Vallejo,,,Daniel Ferreyra,4-1-4-1,5-4-1,Wilfredo Blas,Match Report,
74,2023-06-26,15:30,Liga 1,Torneo Clausura,Mon,Home,W,2,1,UTC,,,Daniel Ferreyra,4-2-3-1,4-2-3-1,Daniel Ureta,Match Report,
75,2023-07-10,15:15,Liga 1,Torneo Clausura,Mon,Away,L,1,3,Sport Huancayo,,,Daniel Ferreyra,4-2-2-2,4-3-3,Diego Haro,Match Report,
76,2023-07-16,17:00,Liga 1,Torneo Clausura,Sun,Home,D,0,0,Cienciano,,,Daniel Ferreyra,3-4-3,5-4-1,Augusto Menéndez,Match Report,
77,2023-07-22,13:00,Liga 1,Torneo Clausura,Sat,Away,L,0,2,Alianza Atlético,,,Daniel Ferreyra,3-4-3,3-4-3,Julio Quiróz,Match Report,
78,2023-07-28,15:00,Liga 1,Torneo Clausura,Fri,Home,W,3,0,Cantolao,,,Daniel Ferreyra,4-3-1-2,5-3-2,Michael Espinoza,Match Report,
79,2023-08-04,13:00,Liga 1,Torneo Clausura,Fri,Away,L,1,2,Unión Comercio,,,Daniel Ferreyra,4-4-2,4-2-3-1,Diego Haro,Match Report,
80,2023-08-13,15:15,Liga 1,Torneo Clausura,Sun,Home,D,1,1,Alianza Lima,,,Daniel Ferreyra,4-4-2,4-2-3-1,Joel Alarcón,Match Report,
81,2023-08-16,17:30,Liga 1,Torneo Clausura,Wed,Away,D,0,0,Mannucci,,,Daniel Ferreyra,4-4-2,4-2-3-1,Edwin Ordóñez,Match Report,
82,2023-08-19,15:30,Liga 1,Torneo Clausura,Sat,Home,D,1,1,Melgar,,,Daniel Ferreyra,4-2-3-1,3-4-3,Roberto Pérez,Match Report,
83,2023-08-26,18:00,Liga 1,Torneo Clausura,Sat,Away,L,0,2,Binacional,,,Felipe Rodríguez,4-2-3-1,4-5-1,Edwin Ordóñez,Match Report,
84,2023-09-02,15:15,Liga 1,Torneo Clausura,Sat,Home,W,1,0,ADT Tarma,,,Daniel Ferreyra,4-2-3-1,4-2-3-1,Kevin Ortega,Match Report,
85,2023-09-16,16:00,Liga 1,Torneo Clausura,Sat,Away,L,1,2,Deportivo Garcilaso,,,Daniel Ferreyra,4-2-3-1,4-2-3-1,Jordy Espinoza,Match Report,
86,2023-09-21,15:20,Liga 1,Torneo Clausura,Thu,Home,D,0,0,Atlético Grau,,,Daniel Ferreyra,4-2-3-1,4-2-3-1,Jonathan Zamora,Match Report,
87,2023-09-25,13:00,Liga 1,Torneo Clausura,Mon,Away,L,0,2,Dep Municipal,,,Daniel Ferreyra,4-2-3-1,4-2-3-1,Fernando Legario,Match Report,
88,2023-09-29,18:00,Liga 1,Torneo Clausura,Fri,Home,W,4,1,Sporting Cristal,,,Daniel Ferreyra,4-3-3,4-3-3,Joel Alarcón,Match Report,
89,2023-10-03,15:15,Liga 1,Torneo Clausura,Tue,Away,L,1,2,Sport Boys,,,Daniel Ferreyra,4-3-3,4-3-3,Michael Espinoza,Match Report,
90,2023-10-21,20:00,Liga 1,Torneo Clausura,Sat,Home,D,1,1,Universitario,,,Daniel Ferreyra,3-4-1-2,3-5-2,Diego Haro,Match Report,
91,2023-10-28,15:15,Liga 1,Torneo Clausura,Sat,Away,L,1,3,U César Vallejo,,,Daniel Ferreyra,4-2-3-1,4-2-3-1,Kevin Ortega,Match Report,
92,2024-01-26,19:00,Liga 1,Torneo Apertura,Fri,Away,W,3,2,Melgar,,,Miguel Aucca,4-2-3-1,4-4-2,,Match Report,
93,2024-02-02,15:00,Liga 1,Torneo Apertura,Fri,Home,D,1,1,UTC,,,Miguel Aucca,4-2-3-1,4-2-3-1,,Match Report,
94,2024-02-11,18:00,Liga 1,Torneo Apertura,Sun,Away,L,0,2,Sport Huancayo,,,Miguel Aucca,4-4-1-1,4-1-4-1,,Match Report,
95,2024-02-17,18:00,Liga 1,Torneo Apertura,Sat,Home,W,1,0,Deportivo Garcilaso,,,Miguel Aucca,4-2-3-1,4-2-3-1,,Match Report,
96,2024-02-24,15:00,Liga 1,Torneo Apertura,Sat,Away,L,0,3,Sport Boys,,,Miguel Aucca,4-4-2,5-4-1,,Match Report,
97,2024-03-02,19:00,Liga 1,Torneo Apertura,Sat,Away,D,2,2,U César Vallejo,,,Juan Manuel Tévez,4-4-2,4-3-3,,Match Report,
98,2024-03-07,15:00,Liga 1,Torneo Apertura,Thu,Home,W,2,0,Alianza Atlético,,,Juan Manuel Tévez,4-4-1-1,5-4-1,,Match Report,
99,2024-03-12,20:30,Liga 1,Torneo Apertura,Tue,Away,L,0,1,Universitario,,,Juan Manuel Tévez,4-2-3-1,3-5-2,,Match Report,
100,2024-03-29,19:00,Liga 1,Torneo Apertura,Fri,Home,W,1,0,Unión Comercio,,,Juan Manuel Tévez,4-2-3-1,4-2-3-1,,Match Report,
101,2024-04-08,15:00,Liga 1,Torneo Apertura,Mon,Away,W,1,0,Comerciantes Unidos,,,Juan Manuel Tévez,4-2-3-1,4-2-3-1,,Match Report,
102,2024-04-14,17:00,Liga 1,Torneo Apertura,Sun,Home,W,3,2,ADT Tarma,,,Juan Manuel Tévez,4-2-3-1,3-4-1-2,,Match Report,
103,2024-04-21,11:00,Liga 1,Torneo Apertura,Sun,Away,L,0,2,Sporting Cristal,,,Juan Manuel Tévez,4-3-3,4-2-3-1,,Match Report,
104,2024-04-27,17:30,Liga 1,Torneo Apertura,Sat,Home,W,2,0,Cienciano,,,Juan Manuel Tévez,4-3-3,4-2-3-1,,Match Report,
105,2024-05-04,13:00,Liga 1,Torneo Apertura,Sat,Away,L,0,2,CDC Santa Rosa,,,Juan Manuel Tévez,4-4-2,3-4-3,,Match Report,
106,2024-05-11,15:30,Liga 1,Torneo Apertura,Sat,Home,W,3,0,Mannucci,,,Miguel Aucca,4-2-3-1,3-5-2,,Match Report,
107,2024-05-17,14:30,Liga 1,Torneo Apertura,Fri,Away,L,0,4,Atlético Grau,,,Juan Manuel Tévez,4-3-3,4-2-3-1,,Match Report,
108,2024-05-24,18:00,Liga 1,Torneo Apertura,Fri,Home,W,3,0,Alianza Lima,,,Alan Pérez,4-3-3,3-1-4-2,,Match Report,
109,2024-07-14,15:15,Liga 1,Torneo Clausura,Sun,Home,L,0,3,Melgar,,,Miguel Aucca,3-4-1-2,4-2-3-1,,Match Report,
110,2024-07-19,13:00,Liga 1,Torneo Clausura,Fri,Away,L,1,2,UTC,,,Alan Pérez,4-1-4-1,4-1-4-1,,Match Report,
111,2024-07-25,15:15,Liga 1,Torneo Clausura,Thu,Home,W,3,0,Sport Huancayo,,,Miguel Aucca,4-2-3-1,4-3-3,,Match Report,
112,2024-07-29,15:00,Liga 1,Torneo Clausura,Mon,Away,W,2,0,Deportivo Garcilaso,,,Miguel Aucca,4-2-3-1,4-2-3-1,,Match Report,
113,2024-08-05,18:00,Liga 1,Torneo Clausura,Mon,Home,W,3,1,Sport Boys,,,Miguel Aucca,4-2-3-1,4-2-3-1,,Match Report,
114,2024-08-11,18:00,Liga 1,Torneo Clausura,Sun,Home,W,2,1,U César Vallejo,,,Miguel Aucca,4-2-3-1,5-4-1,,Match Report,
115,2024-08-15,13:00,Liga 1,Torneo Clausura,Thu,Away,D,1,1,Alianza Atlético,,,Miguel Aucca,4-2-3-1,4-2-3-1,,Match Report,
116,2024-08-20,17:30,Liga 1,Torneo Clausura,Tue,Home,D,1,1,Universitario,,,Miguel Aucca,4-2-3-1,3-5-2,,Match Report,
117,2024-08-26,13:00,Liga 1,Torneo Clausura,Mon,Away,D,3,3,Unión Comercio,,,Miguel Aucca,4-3-3,4-2-3-1,,Match Report,
118,2024-09-14,13:00,Liga 1,Torneo Clausura,Sat,Home,W,2,1,Comerciantes Unidos,,,Miguel Aucca,3-4-3,4-2-3-1,Daniel Ureta,Match Report,
119,2024-09-17,15:15,Liga 1,Torneo Clausura,Tue,Away,W,2,1,ADT Tarma,,,Miguel Aucca,4-2-3-1,3-4-3,Hibert Villegas,Match Report,
120,2024-09-22,15:00,Liga 1,Torneo Clausura,Sun,Home,D,1,1,Sporting Cristal,,,Miguel Aucca,4-2-3-1,5-3-2,Augusto Menéndez,Match Report,
121,2024-09-28,17:30,Liga 1,Torneo Clausura,Sat,Away,W,2,1,Cienciano,,,Miguel Aucca,4-2-3-1,4-2-3-1,Michael Espinoza,Match Report,
122,2024-10-17,15:15,Liga 1,Torneo Clausura,Thu,Home,W,2,1,CDC Santa Rosa,,,Miguel Aucca,4-2-3-1,5-3-2,Roberto Pérez,Match Report,
123,2024-10-23,20:00,Liga 1,Torneo Clausura,Wed,Away,L,1,4,Mannucci,,,Miguel Aucca,4-2-3-1,4-3-3,Joel Alarcón,Match Report,
124,2024-10-28,18:30,Liga 1,Torneo Clausura,Mon,Home,L,0,1,Atlético Grau,,,Miguel Aucca,4-2-3-1,4-2-3-1,Jordy Espinoza,Match Report,
125,2024-11-03,15:00,Liga 1,Torneo Clausura,Sun,Away,W,2,1,Alianza Lima,,,Miguel Aucca,4-2-3-1,3-4-3,Fernando Legario,Match Report,
