,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Captain,Formation,Opp Formation,Referee,Team,DateTime
510,2023-08-17,15:15,Liga 1,Torneo Clausura,3,Home,W,1,0,U César Vallejo,Ángel Elías Romero,4-2-3-1,5-4-1,Micke Palomino,Binacional,2023-08-17 15:15:00
511,2023-08-21,15:15,Liga 1,Torneo Clausura,0,Away,L,2,3,UTC,Anthony Rosell,4-5-1,4-3-3,Joel Alarcón,Binacional,2023-08-21 15:15:00
512,2023-08-26,18:00,Liga 1,Torneo Clausura,5,Home,W,2,0,Cusco,Anthony Rosell,4-5-1,4-2-3-1,Edwin Ordóñez,Binacional,2023-08-26 18:00:00
513,2023-09-03,13:00,Liga 1,Torneo Clausura,6,Away,L,1,3,Sport Huancayo,Anthony Rosell,4-3-3,4-4-2,Joel Alarcón,Binacional,2023-09-03 13:00:00
514,2023-09-15,19:00,Liga 1,Torneo Clausura,4,Home,D,2,2,Cienciano,Anthony Rosell,4-3-3,4-2-3-1,Jesús Cartagena,Binacional,2023-09-15 19:00:00
515,2023-09-19,13:00,Liga 1,Torneo Clausura,1,Away,L,0,1,Alianza Atlético,Andy Polar,4-3-3,4-2-3-1,Joel Alarcón,Binacional,2023-09-19 13:00:00
516,2023-09-23,15:00,Liga 1,Torneo Clausura,5,Home,W,1,0,Cantolao,Andy Polar,4-2-3-1,4-2-3-1,Micke Palomino,Binacional,2023-09-23 15:00:00
517,2023-09-28,13:00,Liga 1,Torneo Clausura,3,Away,D,2,2,Unión Comercio,Edson Aubert,4-3-3,4-2-3-1,Alejandro Villanueva,Binacional,2023-09-28 13:00:00
518,2023-10-03,20:30,Liga 1,Torneo Clausura,1,Home,L,1,2,Alianza Lima,Andy Polar,4-2-3-1,4-2-3-1,Jordy Espinoza,Binacional,2023-10-03 20:30:00
519,2023-10-22,15:00,Liga 1,Torneo Clausura,6,Away,L,2,3,Mannucci,Andy Polar,4-3-3,4-4-2,Joel Alarcón,Binacional,2023-10-22 15:00:00
520,2023-10-29,15:00,Liga 1,Torneo Clausura,6,Home,L,1,2,Melgar,Andy Polar,4-2-3-1,3-4-3,Edwin Ordóñez,Binacional,2023-10-29 15:00:00
521,2020-02-01,15:00,Liga 1,Torneo Apertura,5,Away,L,1,2,UTC,Renzo Revoredo,4-3-3,4-2-3-1,Diego Haro,Sporting Cristal,2020-02-01 15:00:00
522,2020-02-06,19:30,Libertadores,Second qualifying stage,3,Away,L,0,4,ec Barcelona,Jorge Cazulo,5-3-2,4-2-3-1,Cristián Garay,Sporting Cristal,2020-02-06 19:30:00
523,2020-02-09,11:00,Liga 1,Torneo Apertura,6,Home,W,3,2,Cusco,Jorge Cazulo,4-1-4-1,4-4-2,José Mendoza,Sporting Cristal,2020-02-09 11:00:00
524,2020-02-13,19:30,Libertadores,Second qualifying stage,3,Home,W,2,1,ec Barcelona,Jorge Cazulo,4-3-3,4-2-3-1,Wilton Sampaio,Sporting Cristal,2020-02-13 19:30:00
525,2020-02-16,15:30,Liga 1,Torneo Apertura,6,Away,L,0,1,Melgar,Horacio Calcaterra,4-1-4-1,4-1-4-1,Micke Palomino,Sporting Cristal,2020-02-16 15:30:00
526,2020-02-22,11:00,Liga 1,Torneo Apertura,5,Home,D,0,0,Sport Huancayo,Jorge Cazulo,4-3-3,4-2-3-1,Kevin Ortega,Sporting Cristal,2020-02-22 11:00:00
527,2020-03-01,17:45,Liga 1,Torneo Apertura,6,Away,D,1,1,U César Vallejo,Jorge Cazulo,4-2-3-1,4-2-3-1,Michael Espinoza,Sporting Cristal,2020-03-01 17:45:00
528,2020-03-07,11:00,Liga 1,Torneo Apertura,5,Home,L,0,1,Carlos Stein,Jorge Cazulo,4-1-4-1,4-1-4-1,Renzo Castañeda,Sporting Cristal,2020-03-07 11:00:00
529,2020-08-18,13:15,Liga 1,Torneo Apertura,1,Away,W,4,1,Sport Boys,Horacio Calcaterra,4-2-3-1,4-2-3-1,Miguel Santiváñez,Sporting Cristal,2020-08-18 13:15:00
530,2020-08-25,14:15,Liga 1,Torneo Apertura,1,Home,D,1,1,Alianza Lima,Horacio Calcaterra,4-2-3-1,4-2-3-1,Kevin Ortega,Sporting Cristal,2020-08-25 14:15:00
531,2020-08-31,13:15,Liga 1,Torneo Apertura,0,Away,W,6,2,Cantolao,Horacio Calcaterra,4-2-3-1,4-2-3-1,Michael Espinoza,Sporting Cristal,2020-08-31 13:15:00
532,2020-09-09,13:00,Liga 1,Torneo Apertura,2,Home,W,2,0,USMP,Horacio Calcaterra,4-2-3-1,4-3-3,Diego Haro,Sporting Cristal,2020-09-09 13:00:00
533,2020-09-14,18:00,Liga 1,Torneo Apertura,0,Away,D,0,0,Cienciano,Horacio Calcaterra,4-2-3-1,4-2-3-1,Fernando Legario,Sporting Cristal,2020-09-14 18:00:00
534,2020-09-19,18:00,Liga 1,Torneo Apertura,5,Home,W,2,1,Alianza Univ,Jorge Cazulo,4-3-3,4-2-3-1,Roberto Pérez,Sporting Cristal,2020-09-19 18:00:00
535,2020-09-23,15:30,Liga 1,Torneo Apertura,2,Away,W,4,1,Llacuabamba,Jorge Cazulo,4-3-3,4-2-2-2,Michael Espinoza,Sporting Cristal,2020-09-23 15:30:00
536,2020-09-26,18:00,Liga 1,Torneo Apertura,5,Home,W,2,1,Ayacucho,Horacio Calcaterra,4-3-3,4-2-3-1,Edwin Ordóñez,Sporting Cristal,2020-09-26 18:00:00
537,2020-09-30,13:00,Liga 1,Torneo Apertura,2,Away,D,3,3,Mannucci,Jorge Cazulo,4-3-3,4-2-3-1,Joel Alarcón,Sporting Cristal,2020-09-30 13:00:00
538,2020-10-03,18:00,Liga 1,Torneo Apertura,5,Home,L,1,2,Atlético Grau,Jorge Cazulo,4-3-3,4-4-2,Renzo Castañeda,Sporting Cristal,2020-10-03 18:00:00
539,2020-10-08,13:30,Liga 1,Torneo Apertura,3,Away,D,1,1,Dep Municipal,Horacio Calcaterra,4-3-3,4-2-3-1,Luis Garay Evia,Sporting Cristal,2020-10-08 13:30:00
540,2020-10-15,14:00,Liga 1,Torneo Apertura,3,Home,W,1,0,Universitario,Jorge Cazulo,4-4-2,4-2-3-1,Kevin Ortega,Sporting Cristal,2020-10-15 14:00:00
541,2020-10-17,18:00,Liga 1,Torneo Apertura,5,Away,W,6,3,Binacional,Renzo Revoredo,4-3-3,4-2-3-1,Diego Haro,Sporting Cristal,2020-10-17 18:00:00
542,2020-10-24,18:30,Liga 1,Group Stage,5,Away,W,3,2,Cienciano,Horacio Calcaterra,4-3-3,3-5-1-1,Roberto Pérez,Sporting Cristal,2020-10-24 18:30:00
543,2020-10-30,15:30,Liga 1,Group Stage,4,Home,W,1,0,Carlos Stein,Horacio Calcaterra,4-3-3,4-2-3-1,Víctor Carrillo,Sporting Cristal,2020-10-30 15:30:00
544,2020-11-03,18:00,Liga 1,Group Stage,1,Away,W,4,1,Atlético Grau,Jorge Cazulo,4-3-3,4-2-3-1,Augusto Menéndez,Sporting Cristal,2020-11-03 18:00:00
545,2020-11-07,18:00,Liga 1,Group Stage,5,Away,W,2,0,USMP,Jorge Cazulo,4-3-3,4-3-3,Edwin Ordóñez,Sporting Cristal,2020-11-07 18:00:00
546,2020-11-10,18:00,Liga 1,Group Stage,1,Home,W,2,0,Alianza Univ,Jorge Cazulo,4-1-4-1,4-4-2,Luis Garay Evia,Sporting Cristal,2020-11-10 18:00:00
547,2020-11-14,18:00,Liga 1,Group Stage,5,Away,W,2,1,Binacional,Jorge Cazulo,4-3-3,4-3-3,Michael Espinoza,Sporting Cristal,2020-11-14 18:00:00
548,2020-11-20,17:00,Liga 1,Group Stage,4,Home,D,2,2,Universitario,Jorge Cazulo,4-3-3,4-2-3-1,Roberto Pérez,Sporting Cristal,2020-11-20 17:00:00
549,2020-11-23,15:30,Liga 1,Group Stage,0,Away,D,1,1,UTC,Jorge Cazulo,4-3-3,4-4-2,Augusto Menéndez,Sporting Cristal,2020-11-23 15:30:00
550,2020-11-28,15:30,Liga 1,Group Stage,5,Home,W,3,2,Cantolao,Renzo Revoredo,4-3-3,4-2-3-1,Diego Haro,Sporting Cristal,2020-11-28 15:30:00
551,2020-12-05,14:00,Liga 1,Final,5,Home,D,1 (2),1 (3),Ayacucho,Horacio Calcaterra,4-3-3,4-2-3-1,Miguel Santiváñez,Sporting Cristal,2020-12-05 14:00:00
552,2020-12-09,15:30,Liga 1,Semi-finals,2,Home,W,2,1,Ayacucho,Jorge Cazulo,4-1-4-1,4-2-3-1,Kevin Ortega,Sporting Cristal,2020-12-09 15:30:00
553,2020-12-12,15:00,Liga 1,Semi-finals,5,Away,W,4,1,Ayacucho,Jorge Cazulo,4-2-3-1,3-4-1-2,Diego Haro,Sporting Cristal,2020-12-12 15:00:00
554,2020-12-16,19:00,Liga 1,Finals,2,Away,W,2,1,Universitario,Jorge Cazulo,4-3-3,4-2-3-1,Joel Alarcón,Sporting Cristal,2020-12-16 19:00:00
555,2020-12-20,15:00,Liga 1,Finals,6,Home,D,1,1,Universitario,Jorge Cazulo,4-3-3,4-2-3-1,Víctor Carrillo,Sporting Cristal,2020-12-20 15:00:00
556,2021-03-12,18:00,Liga 1,Group Stage,4,Away,W,4,0,Binacional,Horacio Calcaterra,4-3-3,4-2-3-1,Joel Alarcón,Sporting Cristal,2021-03-12 18:00:00
557,2021-03-19,18:00,Liga 1,Group Stage,4,Home,W,1,0,Sport Boys,Horacio Calcaterra,4-3-3,4-3-3,Diego Haro,Sporting Cristal,2021-03-19 18:00:00
558,2021-03-29,15:30,Liga 1,Group Stage,0,Away,W,3,0,Alianza Univ,Horacio Calcaterra,4-3-3,4-2-3-1,Víctor Carrillo,Sporting Cristal,2021-03-29 15:30:00
559,2021-04-13,18:00,Liga 1,Group Stage,1,Home,W,3,1,Dep Municipal,Horacio Calcaterra,4-3-3,4-2-3-1,Diego Haro,Sporting Cristal,2021-04-13 18:00:00
560,2021-04-20,19:30,Libertadores,Group stage,1,Home,L,0,3,br São Paulo,Horacio Calcaterra,4-3-3,3-4-1-2,Andrés Cunha,Sporting Cristal,2021-04-20 19:30:00
561,2021-04-25,15:30,Liga 1,Group Stage,6,Away,W,1,0,Universitario,Horacio Calcaterra,4-3-3,4-2-3-1,Michael Espinoza,Sporting Cristal,2021-04-25 15:30:00
562,2021-04-29,19:00,Libertadores,Group stage,3,Away,L,1,2,ar Racing Club,Horacio Calcaterra,4-3-3,3-1-4-2,Ángel Arteaga,Sporting Cristal,2021-04-29 19:00:00
563,2021-05-02,15:30,Liga 1,Group Stage,6,Home,W,2,1,Alianza Lima,Christopher Olivares,4-2-3-1,4-2-3-1,Augusto Menéndez,Sporting Cristal,2021-05-02 15:30:00
564,2021-05-05,21:00,Libertadores,Group stage,2,Away,D,0,0,uy Rentistas,Horacio Calcaterra,4-2-3-1,4-3-3,Carlos Mario Herrera,Sporting Cristal,2021-05-05 21:00:00
565,2021-05-08,15:30,Liga 1,Group Stage,5,Away,W,2,1,Cusco,Gianfranco Chávez,4-2-3-1,4-4-2,Jesús Cartagena,Sporting Cristal,2021-05-08 15:30:00
566,2021-05-11,19:30,Libertadores,Group stage,1,Home,L,0,2,ar Racing Club,Horacio Calcaterra,4-2-3-1,3-4-1-2,John J. Ospina,Sporting Cristal,2021-05-11 19:30:00
567,2021-05-16,15:30,Liga 1,Group Stage,6,Home,W,2,0,Sport Huancayo,Omar Merlo,4-2-3-1,4-2-3-1,Micke Palomino,Sporting Cristal,2021-05-16 15:30:00
568,2021-05-19,17:00,Libertadores,Group stage,2,Home,W,2,0,uy Rentistas,Horacio Calcaterra,4-2-3-1,4-2-3-1,Franklin Congo,Sporting Cristal,2021-05-19 17:00:00
569,2021-05-22,15:30,Liga 1,Group Stage,5,Away,L,0,3,U César Vallejo,Gianfranco Chávez,4-2-3-1,4-4-2,Jonathan Zamora,Sporting Cristal,2021-05-22 15:30:00
570,2021-05-25,21:30,Libertadores,Group stage,1,Away,L,0,3,br São Paulo,Horacio Calcaterra,3-5-2,3-4-1-2,Wilmar Roldán,Sporting Cristal,2021-05-25 21:30:00
571,2021-05-30,14:00,Liga 1,Final,6,Home,W,2,0,USMP,Horacio Calcaterra,4-2-3-1,4-2-3-1,Kevin Ortega,Sporting Cristal,2021-05-30 14:00:00
572,2021-07-14,17:15,Sudamericana,Round of 16,2,Home,W,2,1,ar Arsenal,Horacio Calcaterra,4-2-3-1,4-1-3-2,Guillermo Guerrero,Sporting Cristal,2021-07-14 17:15:00
573,2021-07-17,15:30,Liga 1,Torneo Clausura,5,Away,W,4,2,Cantolao,Irven Ávila,4-3-3,4-2-3-1,Luis Seminario,Sporting Cristal,2021-07-17 15:30:00
574,2021-07-21,19:15,Sudamericana,Round of 16,2,Away,D,1,1,ar Arsenal,Horacio Calcaterra,4-1-4-1,4-1-3-2,Raphael Claus,Sporting Cristal,2021-07-21 19:15:00
575,2021-07-30,15:30,Liga 1,Torneo Clausura,4,Away,D,1,1,Dep Municipal,Horacio Calcaterra,4-2-3-1,4-2-3-1,Jesús Cartagena,Sporting Cristal,2021-07-30 15:30:00
576,2021-08-03,19:03,Liga 1,Torneo Clausura,1,Home,D,2,2,Universitario,Horacio Calcaterra,4-1-4-1,4-3-1-2,Roberto Pérez,Sporting Cristal,2021-08-03 19:03:00
577,2021-08-06,15:30,Liga 1,Torneo Clausura,4,Away,W,2,1,Sport Huancayo,Horacio Calcaterra,4-1-4-1,4-2-3-1,Fernando Legario,Sporting Cristal,2021-08-06 15:30:00
578,2021-08-11,17:15,Sudamericana,Quarter-finals,2,Home,L,1,3,uy Peñarol,Horacio Calcaterra,4-1-4-1,4-1-4-1,Wilton Pereira Sampaio,Sporting Cristal,2021-08-11 17:15:00
579,2021-08-14,11:00,Liga 1,Torneo Clausura,5,Home,L,0,1,U César Vallejo,Horacio Calcaterra,4-3-3,4-3-3,Michael Espinoza,Sporting Cristal,2021-08-14 11:00:00
580,2021-08-18,19:15,Sudamericana,Quarter-finals,2,Away,L,0,1,uy Peñarol,Horacio Calcaterra,4-3-3,4-2-3-1,Facundo Tello,Sporting Cristal,2021-08-18 19:15:00
581,2021-08-22,18:00,Liga 1,Torneo Clausura,6,Home,W,4,1,Cusco,Horacio Calcaterra,4-3-3,4-2-3-1,Fernando Legario,Sporting Cristal,2021-08-22 18:00:00
582,2021-08-27,13:15,Liga 1,Torneo Clausura,4,Away,W,1,0,Melgar,Horacio Calcaterra,4-3-3,4-2-3-1,Diego Haro,Sporting Cristal,2021-08-27 13:15:00
583,2021-09-03,15:30,Liga 1,Torneo Clausura,4,Home,D,1,1,USMP,Omar Merlo,4-2-3-1,4-2-3-1,Kevin Ortega,Sporting Cristal,2021-09-03 15:30:00
584,2021-09-12,15:30,Liga 1,Torneo Clausura,6,Home,W,5,2,Alianza Atlético,Horacio Calcaterra,4-2-3-1,4-3-3,Luis Garay Evia,Sporting Cristal,2021-09-12 15:30:00
585,2021-09-17,13:15,Liga 1,Torneo Clausura,4,Away,W,6,1,UTC,Horacio Calcaterra,4-2-3-1,4-2-2-2,Jesús Cartagena,Sporting Cristal,2021-09-17 13:15:00
586,2021-09-22,15:30,Liga 1,Torneo Clausura,2,Home,L,1,3,Mannucci,Horacio Calcaterra,4-2-3-1,4-2-3-1,Michael Espinoza,Sporting Cristal,2021-09-22 15:30:00
587,2021-09-26,18:00,Liga 1,Torneo Clausura,6,Away,W,2,1,Alianza Univ,Horacio Calcaterra,4-2-3-1,5-3-2,Jonathan Zamora,Sporting Cristal,2021-09-26 18:00:00
588,2021-10-01,15:30,Liga 1,Torneo Clausura,4,Away,L,1,2,Cienciano,Horacio Calcaterra,4-2-3-1,4-2-3-1,Jordy Espinoza,Sporting Cristal,2021-10-01 15:30:00
589,2021-10-08,15:30,Liga 1,Torneo Clausura,4,Away,W,4,3,Binacional,Omar Merlo,4-2-3-1,3-4-3,Jesús Cartagena,Sporting Cristal,2021-10-08 15:30:00
590,2021-10-17,15:30,Liga 1,Torneo Clausura,6,Home,W,1,0,Ayacucho,Horacio Calcaterra,4-3-3,4-3-3,Fernando Legario,Sporting Cristal,2021-10-17 15:30:00
591,2021-10-24,15:30,Liga 1,Torneo Clausura,6,Away,W,3,1,Alianza Lima,Horacio Calcaterra,4-2-3-1,3-4-1-2,Micke Palomino,Sporting Cristal,2021-10-24 15:30:00
592,2021-10-30,15:00,Liga 1,Torneo Clausura,5,Home,D,1,1,Sport Boys,Irven Ávila,4-3-3,5-3-2,Luis Seminario,Sporting Cristal,2021-10-30 15:00:00
593,2021-11-21,15:00,Liga 1,Finals,6,Away,L,0,1,Alianza Lima,Horacio Calcaterra,4-2-3-1,3-4-1-2,Diego Haro,Sporting Cristal,2021-11-21 15:00:00
594,2021-11-28,15:00,Liga 1,Finals,6,Home,D,0,0,Alianza Lima,Horacio Calcaterra,4-1-4-1,3-4-1-2,Kevin Ortega,Sporting Cristal,2021-11-28 15:00:00
595,2022-02-05,15:30,Liga 1,Torneo Apertura,5,Away,L,0,1,Sport Huancayo,Horacio Calcaterra,4-2-3-1,4-3-3,Roberto Pérez,Sporting Cristal,2022-02-05 15:30:00
596,2022-02-13,13:15,Liga 1,Torneo Apertura,6,Home,D,2,2,Melgar,Horacio Calcaterra,4-2-3-1,4-3-3,Michael Espinoza,Sporting Cristal,2022-02-13 13:15:00
597,2022-02-25,15:30,Liga 1,Torneo Apertura,4,Home,W,3,2,UTC,Horacio Calcaterra,4-2-3-1,4-2-3-1,Jesús Cartagena,Sporting Cristal,2022-02-25 15:30:00
598,2022-03-06,15:30,Liga 1,Torneo Apertura,6,Away,W,1,0,Alianza Lima,Horacio Calcaterra,4-2-3-1,5-3-2,Kevin Ortega,Sporting Cristal,2022-03-06 15:30:00
599,2022-03-13,11:00,Liga 1,Torneo Apertura,6,Home,D,2,2,Cantolao,Horacio Calcaterra,4-3-3,4-2-3-1,Jordy Espinoza,Sporting Cristal,2022-03-13 11:00:00
600,2022-03-20,13:00,Liga 1,Torneo Apertura,6,Away,D,1,1,Carlos Stein,Omar Merlo,4-2-3-1,4-2-3-1,Jesús Cartagena,Sporting Cristal,2022-03-20 13:00:00
601,2022-04-01,13:15,Liga 1,Torneo Apertura,4,Home,W,4,1,USMP,Horacio Calcaterra,4-3-3,4-3-3,Roberto Pérez,Sporting Cristal,2022-04-01 13:15:00
602,2022-04-05,19:30,Libertadores,Group stage,1,Home,L,0,2,br Flamengo,Horacio Calcaterra,4-3-3,3-1-4-2,John J. Ospina,Sporting Cristal,2022-04-05 19:30:00
603,2022-04-08,19:30,Liga 1,Torneo Apertura,4,Away,L,0,2,U César Vallejo,Irven Ávila,4-2-3-1,3-4-3,Michael Espinoza,Sporting Cristal,2022-04-08 19:30:00
604,2022-04-12,18:15,Libertadores,Group stage,1,Away,L,1,2,cl Univ Católica,Horacio Calcaterra,4-3-3,4-3-3,Leodán González,Sporting Cristal,2022-04-12 18:15:00
605,2022-04-16,15:30,Liga 1,Torneo Apertura,5,Home,W,6,4,Dep Municipal,Horacio Calcaterra,4-3-3,4-1-4-1,Roberto Pérez,Sporting Cristal,2022-04-16 15:30:00
606,2022-04-22,19:00,Liga 1,Torneo Apertura,4,Away,W,1,0,Cienciano,Horacio Calcaterra,4-4-1-1,4-3-3,Luis Seminario,Sporting Cristal,2022-04-22 19:00:00
607,2022-04-26,21:30,Libertadores,Group stage,1,Away,L,0,1,ar Talleres,Horacio Calcaterra,4-2-3-1,4-2-3-1,Mario Díaz de Vivar,Sporting Cristal,2022-04-26 21:30:00
608,2022-04-30,13:15,Liga 1,Torneo Apertura,5,Home,W,1,0,Binacional,Horacio Calcaterra,4-3-3,4-5-1,Augusto Menéndez,Sporting Cristal,2022-04-30 13:15:00
609,2022-05-04,21:00,Libertadores,Group stage,2,Home,D,1,1,cl Univ Católica,Horacio Calcaterra,4-2-3-1,4-4-1-1,Andrés Rojas,Sporting Cristal,2022-05-04 21:00:00
610,2022-05-08,15:00,Liga 1,Torneo Apertura,6,Away,D,1,1,ADT Tarma,Horacio Calcaterra,4-3-3,4-4-2,Kevin Ortega,Sporting Cristal,2022-05-08 15:00:00
611,2022-05-13,13:15,Liga 1,Torneo Apertura,4,Home,W,3,2,Ayacucho,Horacio Calcaterra,4-3-3,4-2-3-1,Carlos Lozano,Sporting Cristal,2022-05-13 13:15:00
612,2022-05-17,19:30,Libertadores,Group stage,1,Home,D,0,0,ar Talleres,Horacio Calcaterra,4-2-3-1,4-4-2,Luis Quiroz,Sporting Cristal,2022-05-17 19:30:00
613,2022-05-21,19:00,Liga 1,Torneo Apertura,5,Away,D,1,1,Universitario,Horacio Calcaterra,4-2-3-1,4-2-3-1,Kevin Ortega,Sporting Cristal,2022-05-21 19:00:00
614,2022-05-24,21:30,Libertadores,Group stage,1,Away,L,1,2,br Flamengo,Horacio Calcaterra,5-3-2,4-2-3-1,Alexis Herrera,Sporting Cristal,2022-05-24 21:30:00
615,2022-06-05,13:00,Liga 1,Torneo Apertura,6,Home,W,3,0,Sport Boys,Omar Merlo,4-2-3-1,4-3-3,Pablo López,Sporting Cristal,2022-06-05 13:00:00
616,2022-06-19,13:00,Liga 1,Torneo Apertura,6,Away,W,2,0,Atlético Grau,Horacio Calcaterra,4-3-3,4-4-2,Daniel Ureta,Sporting Cristal,2022-06-19 13:00:00
617,2022-06-25,15:30,Liga 1,Torneo Apertura,5,Home,W,1,0,Alianza Atlético,Horacio Calcaterra,4-2-3-1,4-2-3-1,Edwin Ordóñez,Sporting Cristal,2022-06-25 15:30:00
618,2022-07-03,12:00,Liga 1,Torneo Apertura,6,Away,W,3,1,Mannucci,Horacio Calcaterra,4-2-3-1,4-4-2,Victor Cori,Sporting Cristal,2022-07-03 12:00:00
619,2022-07-09,13:00,Liga 1,Torneo Clausura,5,Home,W,4,3,Sport Huancayo,Horacio Calcaterra,4-2-3-1,3-4-1-2,Hibert Villegas,Sporting Cristal,2022-07-09 13:00:00
620,2022-07-17,15:30,Liga 1,Torneo Clausura,6,Away,W,1,0,Melgar,Horacio Calcaterra,4-3-3,4-2-3-1,Joel Alarcón,Sporting Cristal,2022-07-17 15:30:00
621,2022-07-26,15:15,Liga 1,Torneo Clausura,1,Away,W,2,0,UTC,Horacio Calcaterra,4-3-3,5-4-1,Wilfredo Blas,Sporting Cristal,2022-07-26 15:15:00
622,2022-07-31,15:30,Liga 1,Torneo Clausura,6,Home,D,0,0,Alianza Lima,Omar Merlo,4-3-3,4-4-2,Kevin Ortega,Sporting Cristal,2022-07-31 15:30:00
623,2022-08-06,13:15,Liga 1,Torneo Clausura,5,Away,D,2,2,Cantolao,Horacio Calcaterra,4-3-3,4-2-3-1,Julio Quiróz,Sporting Cristal,2022-08-06 13:15:00
624,2022-08-13,11:00,Liga 1,Torneo Clausura,5,Home,W,3,2,Carlos Stein,Horacio Calcaterra,4-3-3,5-4-1,Italo Gonzáles,Sporting Cristal,2022-08-13 11:00:00
625,2022-08-21,15:30,Liga 1,Torneo Clausura,6,Away,W,2,1,USMP,Horacio Calcaterra,4-3-3,4-2-3-1,Luis Garay Evia,Sporting Cristal,2022-08-21 15:30:00
626,2022-08-28,13:15,Liga 1,Torneo Clausura,6,Home,D,0,0,U César Vallejo,Horacio Calcaterra,4-3-3,5-4-1,Alejandro Villanueva,Sporting Cristal,2022-08-28 13:15:00
627,2022-09-03,13:00,Liga 1,Torneo Clausura,5,Away,W,3,0,Dep Municipal,Horacio Calcaterra,4-3-3,5-4-1,Joel Alarcón,Sporting Cristal,2022-09-03 13:00:00
628,2022-09-11,11:00,Liga 1,Torneo Clausura,6,Home,W,4,1,Cienciano,Horacio Calcaterra,4-3-3,4-2-3-1,Christian Zegarra,Sporting Cristal,2022-09-11 11:00:00
629,2022-09-18,15:30,Liga 1,Torneo Clausura,6,Away,D,1,1,Binacional,Horacio Calcaterra,4-3-3,4-2-3-1,Hibert Villegas,Sporting Cristal,2022-09-18 15:30:00
630,2022-09-29,13:00,Liga 1,Torneo Clausura,3,Home,W,4,2,ADT Tarma,Horacio Calcaterra,4-3-3,4-2-3-1,Jesús Cartagena,Sporting Cristal,2022-09-29 13:00:00
631,2022-10-05,15:30,Liga 1,Torneo Clausura,2,Away,W,1,0,Ayacucho,Omar Merlo,4-3-3,3-4-1-2,Luis Garay Evia,Sporting Cristal,2022-10-05 15:30:00
632,2022-10-09,15:30,Liga 1,Torneo Clausura,6,Home,D,0,0,Universitario,Horacio Calcaterra,4-3-3,4-2-3-1,Kevin Ortega,Sporting Cristal,2022-10-09 15:30:00
633,2022-10-15,15:30,Liga 1,Torneo Clausura,5,Away,W,5,3,Sport Boys,Horacio Calcaterra,4-3-3,4-2-3-1,Michael Espinoza,Sporting Cristal,2022-10-15 15:30:00
634,2022-10-20,13:15,Liga 1,Torneo Clausura,3,Home,L,1,2,Atlético Grau,Horacio Calcaterra,4-3-3,4-2-3-1,Joel Alarcón,Sporting Cristal,2022-10-20 13:15:00
635,2022-10-23,13:15,Liga 1,Torneo Clausura,6,Away,W,2,0,Alianza Atlético,Horacio Calcaterra,4-3-3,4-2-3-1,Hibert Villegas,Sporting Cristal,2022-10-23 13:15:00
636,2022-10-30,15:00,Liga 1,Torneo Clausura,6,Home,W,4,0,Mannucci,Horacio Calcaterra,4-3-3,4-3-3,Diego Haro,Sporting Cristal,2022-10-30 15:00:00
637,2022-11-02,15:00,Liga 1,Semi-finals,2,Away,L,0,2,Melgar,Horacio Calcaterra,4-3-3,4-3-3,Roberto Pérez,Sporting Cristal,2022-11-02 15:00:00
638,2022-11-06,15:00,Liga 1,Semi-finals,6,Home,L,0,2,Melgar,Horacio Calcaterra,4-3-3,4-3-3,Edwin Ordóñez,Sporting Cristal,2022-11-06 15:00:00
639,2023-02-05,10:00,Liga 1,Torneo Apertura,6,Home,W,3,0,Alianza Lima,,,,,Sporting Cristal,2023-02-05 10:00:00
640,2023-02-12,15:00,Liga 1,Torneo Apertura,6,Away,D,1,1,Mannucci,Yoshimar Yotún,4-3-3,4-2-2-2,Edwin Ordóñez,Sporting Cristal,2023-02-12 15:00:00
641,2023-02-17,16:00,Liga 1,Torneo Apertura,4,Home,W,1,0,Melgar,Yoshimar Yotún,4-3-3,4-3-3,Jesús Cartagena,Sporting Cristal,2023-02-17 16:00:00
642,2023-02-21,19:00,Libertadores,Second qualifying stage,1,Away,L,0,2,py Nacional,Yoshimar Yotún,4-3-3,4-4-2,Anderson Daronco,Sporting Cristal,2023-02-21 19:00:00
643,2023-02-28,19:00,Libertadores,Second qualifying stage,1,Home,W,5,1,py Nacional,Gianfranco Chávez,4-3-3,4-4-2,Cristián Garay,Sporting Cristal,2023-02-28 19:00:00
644,2023-03-04,16:00,Liga 1,Torneo Apertura,5,Home,D,0,0,ADT Tarma,Irven Ávila,4-3-3,4-2-3-1,Pablo López,Sporting Cristal,2023-03-04 16:00:00
645,2023-03-09,21:00,Libertadores,Third qualifying stage,3,Away,D,0,0,ar Huracán,Yoshimar Yotún,4-3-3,4-4-2,Andrés Matonte,Sporting Cristal,2023-03-09 21:00:00
646,2023-03-12,18:00,Liga 1,Torneo Apertura,6,Away,D,4,4,Deportivo Garcilaso,Johan Madrid,4-3-3,4-2-3-1,Augusto Menéndez,Sporting Cristal,2023-03-12 18:00:00
647,2023-03-16,19:00,Libertadores,Third qualifying stage,3,Home,W,1,0,ar Huracán,Yoshimar Yotún,4-3-3,4-4-2,Raphael Claus,Sporting Cristal,2023-03-16 19:00:00
648,2023-03-19,15:30,Liga 1,Torneo Apertura,6,Home,W,2,1,Atlético Grau,Irven Ávila,3-4-3,4-2-3-1,Hibert Villegas,Sporting Cristal,2023-03-19 15:30:00
