DateTime,Day,Time,Round,Home Team,Away Team,GF,GA,Formation,Opp Formation,Result,HGS,AGS,HGC,AGC,MW,HTP,ATP,HUS,AUS,HLS,ALS,1_RHT,2_RHT,3_RHT,4_RHT,5_RHT,1_RAT,2_RAT,3_RAT,4_RAT,5_RAT,HGD,AGD,PD,HGDForm,AGDForm,HTPForm,ATPForm,PDForm
2020-01-31 18:00:00,4,18:00,Torneo Apertura,Melgar,Universitario,1,2,4-3-3,4-2-3-1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-31 20:30:00,4,20:30,Torneo Apertura,Alianza Lima,Alianza Universidad,2,3,3-4-3,4-4-2,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01 15:00:00,5,15:00,Torneo Apertura,UTC,Sporting Cristal,2,1,4-2-3-1,4-3-3,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01 17:30:00,5,17:30,Torneo Apertura,Sport Huancayo,Atlético Grau,1,0,4-2-3-1,4-2-3-1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-02 11:00:00,6,11:00,Torneo Apertura,USMP,Ayacucho,3,1,4-3-3,4-4-2,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-02 13:00:00,6,13:00,Torneo Apertura,Cantolao,Cienciano,2,1,4-2-3-1,4-2-3-1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-02 15:30:00,6,15:30,Torneo Apertura,Sport Boys,Llacuabamba,3,2,4-3-3,4-2-3-1,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-03 15:00:00,0,15:00,Torneo Apertura,Cusco,Binacional,0,2,4-4-2,4-2-3-1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,M,M,M,M,M,M,M,M,M,M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-07 15:00:00,4,15:00,Torneo Apertura,Ayacucho,Sport Boys,2,1,4-4-2,4-2-3-1,1,1.0,3.0,3.0,2.0,2.0,0.0,3.0,0.0,1.0,1.0,0.0,L,M,M,M,M,W,M,M,M,M,-2.0,1.0,-3.0,-1.0,0.5,0.0,1.5,-1.5
2020-02-08 13:15:00,5,13:15,Torneo Apertura,Atlético Grau,U César Vallejo,1,1,4-2-3-1,4-2-3-1,0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,L,M,M,M,M,M,M,M,M,M,-1.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0
2020-02-08 15:00:00,5,15:00,Torneo Apertura,Binacional,Melgar,2,4,4-2-3-1,4-1-4-1,0,2.0,1.0,0.0,2.0,2.0,3.0,0.0,1.0,0.0,0.0,1.0,W,M,M,M,M,L,M,M,M,M,2.0,-1.0,3.0,1.0,-0.5,1.5,0.0,1.5
2020-02-08 20:00:00,5,20:00,Torneo Apertura,Universitario,Sport Huancayo,2,1,4-2-3-1,4-2-3-1,1,2.0,1.0,1.0,0.0,2.0,3.0,3.0,1.0,1.0,0.0,0.0,W,M,M,M,M,W,M,M,M,M,1.0,1.0,0.0,0.5,0.5,1.5,1.5,0.0
2020-02-09 11:00:00,6,11:00,Torneo Apertura,Sporting Cristal,Cusco,3,2,4-1-4-1,4-4-2,1,1.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,L,M,M,M,M,L,M,M,M,M,-1.0,-2.0,0.0,-0.5,-1.0,0.0,0.0,0.0
2020-02-09 15:00:00,6,15:00,Torneo Apertura,Cienciano,USMP,4,0,4-2-3-1,4-3-3,1,1.0,3.0,2.0,1.0,2.0,0.0,3.0,0.0,1.0,1.0,0.0,L,M,M,M,M,W,M,M,M,M,-1.0,2.0,-3.0,-0.5,1.0,0.0,1.5,-1.5
2020-02-09 15:00:00,6,15:00,Torneo Apertura,Alianza Universidad,Carlos Stein,1,0,4-2-3-1,5-3-2,1,3.0,0.0,2.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,W,M,M,M,M,M,M,M,M,M,1.0,0.0,3.0,0.5,0.0,1.5,0.0,1.5
2020-02-09 17:15:00,6,17:15,Torneo Apertura,Mannucci,Alianza Lima,1,1,4-2-3-1,3-4-3,0,0.0,2.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,M,M,M,M,M,L,M,M,M,M,0.0,-1.0,0.0,0.0,-0.5,0.0,0.0,0.0
2020-02-09 19:30:00,6,19:30,Torneo Apertura,Dep Municipal,UTC,0,0,4-2-3-1,4-2-3-1,0,0.0,2.0,0.0,1.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,M,M,M,M,M,W,M,M,M,M,0.0,1.0,-3.0,0.0,0.5,0.0,1.5,-1.5
2020-02-14 15:00:00,4,15:00,Torneo Apertura,Cienciano,Llacuabamba,5,2,4-4-2,4-4-2,1,5.0,2.0,2.0,3.0,3.0,3.0,0.0,1.0,0.0,0.0,1.0,W,L,M,M,M,L,M,M,M,M,3.0,-1.0,3.0,1.0,-0.3333333333333333,1.0,0.0,1.0
2020-02-14 20:00:00,4,20:00,Torneo Apertura,U César Vallejo,Binacional,0,2,3-4-3,4-4-2,0,1.0,4.0,1.0,4.0,3.0,1.0,3.0,1.0,0.0,0.0,1.0,D,M,M,M,M,L,W,M,M,M,0.0,0.0,-2.0,0.0,0.0,0.3333333333333333,1.0,-0.6666666666666667
2020-02-15 13:00:00,5,13:00,Torneo Apertura,Cantolao,Ayacucho,0,2,4-2-3-1,4-2-3-1,0,2.0,3.0,1.0,4.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,W,M,M,M,M,W,L,M,M,M,1.0,-1.0,0.0,0.3333333333333333,-0.3333333333333333,1.0,1.0,0.0
2020-02-15 15:00:00,5,15:00,Torneo Apertura,Carlos Stein,Universitario,1,3,4-2-3-1,4-2-3-1,0,0.0,4.0,1.0,2.0,3.0,0.0,6.0,0.0,2.0,1.0,0.0,L,M,M,M,M,W,W,M,M,M,-1.0,2.0,-6.0,-0.3333333333333333,0.6666666666666666,0.0,2.0,-2.0
2020-02-15 16:00:00,5,16:00,Torneo Apertura,Sport Boys,Mannucci,3,3,4-2-3-1,4-2-3-1,0,4.0,1.0,4.0,1.0,3.0,3.0,1.0,0.0,1.0,1.0,0.0,L,W,M,M,M,D,M,M,M,M,0.0,0.0,2.0,0.0,0.0,1.0,0.3333333333333333,0.6666666666666667
2020-02-15 20:00:00,5,20:00,Torneo Apertura,Alianza Lima,Atlético Grau,1,0,5-3-2,4-1-4-1,1,3.0,1.0,4.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,D,L,M,M,M,D,L,M,M,M,-1.0,-1.0,0.0,-0.3333333333333333,-0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
